sport,position,retire_year,retire_age,years_played
nba,F-C,1999,38,16
nba,G,2000,25,2
nba,F-C,2016,26,2
nba,F,1976,23,1
nba,G,1999,30,1
nba,G,2005,26,1
nba,G,1947,-76,1
nba,G,2018,25,2
nba,F,2006,35,13
nba,G,2017,21,1
nba,F,2012,28,6
nba,F,1991,23,1
nba,G,2018,21,1
nba,F,1989,34,12
nba,F,1947,-74,1
nba,F-G,1987,28,6
nba,G,2011,30,8
nba,C,1971,24,1
nba,F-C,1991,31,7
nba,F-C,1982,31,9
nba,F,1957,-70,1
nba,G,2017,35,14
nba,G,1996,28,5
nba,G,2018,34,12
nba,F-C,2016,31,10
nba,G,1952,-69,3
nba,C-F,1979,24,3
nba,F,2000,37,16
nba,G,2002,24,2
nba,F-C,1955,-68,4
nba,F,2018,26,6
nba,F,1969,24,1
nba,C-F,1971,30,7
nba,F-C,1980,28,6
nba,F,2017,37,14
nba,G-F,1974,38,15
nba,G-F,1977,33,11
nba,G,1976,23,1
nba,G,1972,34,10
nba,G,1977,24,1
nba,F-G,1954,-70,5
nba,F,1947,-71,1
nba,G,1977,27,5
nba,G,1971,27,1
nba,G,2008,26,4
nba,G-F,1956,-73,3
nba,G,1973,30,4
nba,C,2015,34,10
nba,G,2004,37,15
nba,G,2009,38,14
nba,G,2000,27,3
nba,G,2006,37,14
nba,F,1980,36,15
nba,F,1951,-74,2
nba,C,1972,24,1
nba,G,2018,27,6
nba,G,2006,23,1
nba,F,1976,25,1
nba,F,2017,32,12
nba,F-C,1980,29,7
nba,F,2009,34,7
nba,C,2004,29,3
nba,G,1983,27,4
nba,F-C,2007,24,2
nba,F,2003,26,1
nba,C-F,2012,36,15
nba,F,2014,36,13
nba,G,1995,33,10
nba,F,1993,29,4
nba,C,1984,28,2
nba,G-F,1975,24,1
nba,F-G,2018,30,10
nba,F,1974,28,5
nba,G,1947,-71,1
nba,F,2006,27,4
nba,G,2018,30,10
nba,F,1972,38,14
nba,F,1968,26,1
nba,C,2018,32,6
nba,G,1995,30,1
nba,G-F,2018,29,6
nba,F,1951,-78,1
nba,G,2018,25,6
nba,C,1968,26,1
nba,G,1979,32,10
nba,G,1951,-76,2
nba,G-F,1971,26,4
nba,F,2004,24,1
nba,F-C,1974,30,7
nba,G,2018,22,2
nba,F,2018,29,10
nba,C,1975,36,13
nba,G,2013,25,4
nba,C-F,1977,32,10
nba,G,1999,28,4
nba,G-F,1961,30,8
nba,F,1973,31,6
nba,G-F,1947,-70,1
nba,F,1971,27,4
