sport,position,retire_year,retire_age,years_played
nba,G,1982,23,1
nba,G,1978,29,7
nba,G,1999,35,12
nba,G,2003,30,3
nba,G,2018,27,5
nba,F-C,1987,29,6
nba,G,1950,29,1
nba,F,2017,22,2
nba,F-C,1997,33,9
nba,C,1982,23,1
nba,G,1991,29,7
nba,G,2008,30,7
nba,G-F,2006,25,4
nba,C-F,1996,26,4
nba,F,1968,25,1
nba,G,1991,33,11
nba,F-C,1970,30,1
nba,G,1994,35,13
nba,F,2000,34,11
nba,C,1954,24,2
nba,C,1971,27,4
nba,G,2017,38,18
nba,F,1969,24,1
nba,G,1982,24,2
nba,F,1994,33,12
nba,C-F,2011,27,6
nba,G,2007,23,2
nba,G,1988,26,2
nba,G,2018,31,11
nba,C-F,2014,26,3
nba,G,2013,24,1
nba,G,2018,26,3
nba,F-C,2015,30,11
nba,G,1993,26,3
nba,F,1972,25,2
nba,F,1976,26,4
nba,F,2011,24,4
nba,G-F,1982,28,6
nba,F-G,1969,31,2
nba,G,1972,27,5
nba,F-C,2009,34,13
nba,G,1994,23,1
nba,G,1998,25,4
nba,C,2016,23,4
nba,G,1975,25,3
nba,G-F,1991,27,1
nba,F-G,2018,23,1
nba,F,2003,22,1
nba,G,1960,32,7
nba,G,1972,26,1
nba,C,1962,25,1
nba,G,1972,24,1
nba,F,1982,24,1
nba,C,1995,33,11
nba,F,2017,22,3
nba,C-F,2018,26,3
nba,G,1999,21,1
nba,G,1990,29,6
nba,G,2018,33,11
nba,G,1987,24,1
nba,G,2013,28,4
nba,F,2018,30,11
nba,F-G,2000,24,1
nba,G,2009,24,1
nba,G-F,1956,31,10
nba,F,1955,25,3
nba,G,2018,26,5
nba,F-C,1962,23,1
nba,F-G,1972,25,2
nba,G,1947,-72,1
nba,F-C,2013,26,1
nba,F,2018,28,6
nba,C-F,1980,23,1
nba,F,1988,24,1
nba,G,2005,28,5
nba,F,1998,25,3
nba,G-F,2006,25,1
nba,F,2017,21,1
nba,G-F,2018,24,2
nba,G,2018,21,1
nba,G,1983,30,1
nba,G,1971,23,1
nba,F-C,2018,21,2
nba,G,1949,30,1
nhl,C,2018,21,3
nhl,C,2018,40,13
nhl,RW,2018,37,11
nhl,C,2018,38,11
nhl,RW,2018,26,5
nhl,LW,2018,35,9
nhl,C,2018,28,7
nhl,C,2018,23,4
nhl,D,2018,44,15
nhl,RW,2018,29,6
nhl,LW,2018,26,3
nhl,RW,2018,38,10
nhl,C,2018,42,13
nhl,C,2018,40,12
nhl,C,2018,31,8
nhl,D,2018,33,9
nhl,D,2018,33,9
nhl,RW,2018,22,4
nhl,RW,2018,39,12
nhl,C,2018,19,2
nhl,LW,2018,42,13
nhl,LW,2018,34,9
nhl,C,2018,28,6
nhl,C,2018,42,12
nhl,LW,2018,49,15
nhl,LW,2018,36,10
nhl,C,2018,43,13
nhl,C,2018,33,9
nhl,C,2018,45,15
nhl,RW,2018,18,2
nhl,LW,2018,21,3
nhl,LW,2018,30,8
nhl,RW,2018,32,7
nhl,LW,2018,34,9
nhl,C,2018,33,9
nhl,LW,2018,25,4
nhl,LW,2018,32,7
nhl,C,2018,21,3
nhl,RW,2018,35,10
nhl,C,2018,19,2
nhl,LW,2018,26,5
nhl,C,2018,29,7
nhl,C,2018,27,5
nhl,RW,2018,35,8
nhl,C,2018,24,4
nhl,LW,2018,26,6
nhl,C,2018,25,5
nhl,LW,2018,32,8
nhl,C,2018,45,15
nhl,C,2018,37,11
nhl,C,2018,44,13
nhl,C,2018,38,11
nhl,RW,2018,30,8
nhl,C,2018,21,3
nhl,RW,2018,38,10
nhl,LW,2018,27,6
nhl,C,2018,28,6
nhl,RW,2018,35,10
nhl,D,2018,34,8
nhl,C,2018,36,11
nhl,C,2018,32,9
nhl,C,2018,32,9
nhl,RW,2018,48,15
nhl,LW,2018,29,7
nhl,C,2018,37,9
nhl,C,2018,32,8
nhl,RW,2018,36,10
nhl,C,2018,40,12
nhl,C,2018,26,5
nhl,RW,2018,28,6
nhl,RW,2018,40,12
nhl,LW,2018,29,6
nhl,RW,2018,31,8
nhl,LW,2018,29,7
nhl,LW,2018,25,3
nhl,C,2018,35,10
nhl,C,2018,44,15
nhl,LW,2018,23,4
nhl,LW,2018,31,8
nhl,RW,2018,42,13
nhl,C,2018,24,5
nhl,D,2018,44,13
nhl,LW,2018,30,6
nhl,C,2018,34,9
nhl,C,2018,24,5
nhl,C,2018,23,4
nhl,LW,2018,29,6
nhl,D,2018,42,13
nhl,C,2018,39,12
nhl,C,2018,27,6
nhl,RW,2018,43,13
nhl,C,2018,30,6
nhl,LW,2018,38,11
nhl,RW,2018,32,8
nhl,LW,2018,43,13
nhl,D,2018,30,6
nhl,D,2018,30,7
nhl,LW,2018,37,11
nhl,C,2018,36,11
nhl,C,2018,49,15
nhl,C,2018,46,15
nhl,D,2018,27,6
nhl,C,2018,50,15
nhl,RW,2018,19,2
nhl,RW,2018,30,6
nhl,RW,2018,26,4
nhl,D,2018,26,4
nhl,D,2018,31,7
nhl,RW,2018,48,15
nhl,LW,2018,44,13
nhl,D,2018,35,10
nhl,LW,2018,19,2
nhl,RW,2018,32,7
nhl,LW,2018,30,7
nhl,C,2018,38,11
nhl,C,2018,23,4
nhl,RW,2018,47,15
nhl,D,2018,19,2
nhl,LW,2018,50,15
nhl,LW,2018,32,8
nhl,LW,2018,37,11
nhl,RW,2018,57,15
nhl,D,2018,31,8
nhl,RW,2017,51,14
nhl,C,2018,36,10
nhl,LW,2018,28,5
nhl,C,2018,30,6
nhl,RW,2018,37,11
nhl,C,2018,25,4
nhl,C,2018,38,12
nhl,C,2018,41,12
nhl,C,2018,36,9
nhl,C,2018,25,5
nhl,D,2018,25,5
nhl,LW,2018,27,5
nhl,RW,2018,29,6
nhl,RW,2018,38,10
nhl,RW,2018,36,10
nhl,C,2018,26,6
nhl,LW,2018,49,15
nhl,D,2018,35,10
nhl,LW,2018,32,9
nhl,LW,2018,33,8
nhl,C,2018,28,7
nhl,D,2018,31,7
nhl,LW,2017,33,6
nhl,LW,2018,43,13
nhl,C,2018,49,15
nhl,D,2018,42,13
nhl,LW,2018,25,5
nhl,C,2018,43,13
nhl,D,2018,25,5
nhl,D,2018,33,8
nhl,RW,2018,37,10
nhl,C,2018,33,9
nhl,C,2018,42,12
nhl,C,2018,40,12
nhl,D,2018,40,12
nhl,RW,2018,36,9
nhl,C,2018,32,8
nhl,C,2018,20,2
nhl,C,2018,41,12
nhl,RW,2018,44,13
nhl,LW,2018,25,4
nhl,D,2018,34,9
nhl,D,2018,43,13
nhl,C,2018,38,11
nhl,C,2018,38,11
nhl,D,2018,31,8
nhl,D,2018,44,13
nhl,D,2018,31,8
nhl,C,2018,29,6
nhl,D,2018,36,9
nhl,D,2018,25,4
nhl,D,2018,39,11
nhl,D,2018,23,3
nhl,D,2018,42,13
nhl,RW,2018,45,15
nhl,RW,2018,21,3
nhl,RW,2018,42,12
nhl,D,2018,31,7
nhl,D,2018,26,5
nhl,D,2018,33,8
nhl,LW,2018,22,3
nhl,D,2018,30,7
nhl,C,2018,35,9
nhl,D,2018,29,7
nhl,RW,2018,30,7
nhl,RW,2018,39,11
nhl,C,2018,28,7
nhl,LW,2018,47,15
nhl,D,2018,34,9
nhl,RW,2018,24,3
nhl,LW,2018,31,6
nhl,RW,2018,23,3
nhl,RW,2018,45,15
nhl,D,2018,42,13
nhl,D,2018,32,8
nhl,D,2018,40,11
nhl,D,2017,51,14
nhl,D,2018,25,2
nhl,LW,2018,29,7
nhl,LW,2018,38,11
nhl,C,2018,38,9
nhl,RW,2018,51,15
nhl,LW,2018,23,4
nhl,LW,2018,34,9
nhl,D,2018,40,12
nhl,D,2018,24,3
nhl,C,2018,36,10
nhl,C,2018,26,5
nhl,C,2018,35,10
nhl,RW,2018,26,4
nhl,C,2018,28,6
nhl,C,2018,29,7
nhl,D,2018,25,5
nhl,D,2018,35,8
nhl,D,2018,39,12
nhl,D,2018,23,3
nhl,LW,2018,50,15
nhl,LW,2018,29,7
nhl,C,2018,22,2
nhl,LW,2018,20,2
nhl,C,2018,23,3
nhl,C,2018,24,3
nhl,C,2018,28,6
nhl,D,2018,25,5
nhl,D,2018,30,7
nhl,C,2018,26,5
nhl,C,2018,21,3
nhl,C,2018,36,10
nhl,LW,2018,25,3
nhl,C,2018,34,6
nhl,LW,2018,42,11
nhl,LW,2018,42,13
nhl,LW,2018,24,4
nhl,LW/RW,2018,46,13
nhl,C,2018,28,5
nhl,C,2018,53,15
nhl,LW,2018,47,15
nhl,D,2018,24,4
nhl,RW,2018,39,10
nhl,RW,2018,26,5
nhl,D,2018,42,13
nhl,D,2018,20,2
nhl,C,2018,23,3
nhl,RW,2018,24,4
nhl,C,2018,25,4
nhl,C,2018,30,7
nhl,RW,2018,32,7
nhl,C,2017,22,2
nhl,C,2018,31,3
nhl,D,2018,52,15
nhl,RW,2018,28,6
nhl,RW,2018,46,12
nhl,LW,2018,50,15
nhl,D,2018,21,3
nhl,LW,2018,21,2
nhl,RW,2018,26,4
nhl,LW,2018,22,3
nhl,RW,2017,43,11
nhl,LW,2018,44,13
nhl,C,2018,19,2
nhl,C,2018,25,3
nhl,C,2018,27,5
nhl,C,2018,47,15
nhl,D,2018,35,9
nhl,D,2018,33,8
nhl,C,2018,47,15
nhl,D,2018,35,8
nhl,LW,2018,20,2
nhl,D,2018,39,12
nhl,D,2018,28,6
nhl,LW,2018,23,2
nhl,RW,2017,52,14
nhl,LW,2018,31,6
nhl,RW,2017,53,14
nhl,D,2018,25,5
nhl,D,2018,50,13
nhl,C,2018,28,5
nhl,C,2018,22,4
nhl,LW,2018,35,10
nhl,LW,2018,27,6
nhl,LW,2018,26,4
nhl,D,2018,33,8
nhl,D,2018,48,15
nhl,LW,2018,26,4
nhl,C,2018,41,11
nhl,RW,2018,41,12
nhl,RW,2018,38,11
nhl,C,2018,34,9
nhl,LW,2018,40,11
nhl,LW,2018,26,4
nhl,C,2018,49,15
nhl,C,2018,30,7
nhl,C,2018,26,4
nhl,D,2018,30,7
nhl,C,2017,49,14
nhl,D,2018,27,6
nhl,RW,2018,25,4
nhl,RW,2018,30,6
nhl,C,2018,38,10
nhl,LW,2018,41,12
nhl,LW,2018,19,2
nhl,C,2018,33,8
nhl,C,2018,20,3
nhl,RW,2018,25,4
nhl,RW,2018,31,7
nhl,D,2018,22,2
nhl,D,2018,29,6
nhl,RW,2018,29,7
nhl,LW,2018,30,7
nhl,LW,2018,38,10
nhl,C,2018,24,4
nhl,C,2017,26,5
nhl,LW,2018,36,9
nhl,D,2018,42,11
nhl,D,2018,30,6
nhl,D,2018,31,7
nhl,C,2018,46,15
nhl,D,2018,40,12
nhl,D,2018,31,7
nhl,D,2018,32,8
nhl,C,2018,28,4
nhl,C,2018,26,5
nhl,C,2018,31,4
nhl,C,2018,27,3
nhl,LW,2018,33,7
nhl,D,2018,48,15
nhl,D,2018,39,11
nhl,LW,2018,20,2
nhl,RW,2018,37,10
nhl,D,2018,22,4
nhl,RW,2018,47,15
nhl,RW,2018,41,12
nhl,LW,2018,38,11
nhl,D,2018,40,12
nhl,RW,2018,28,5
nhl,C,2018,34,10
nhl,RW,2018,21,2
nhl,LW,2018,40,12
nhl,RW,2018,39,11
nhl,LW,2017,38,9
nhl,RW,2018,21,2
nhl,C,2018,27,4
nhl,D,2018,18,2
nhl,D,2018,26,5
nhl,D,2018,22,3
nhl,RW,2018,38,11
nhl,D,2018,31,6
nhl,D,2018,26,5
nhl,D,2018,23,3
nhl,RW,2018,25,4
nhl,RW,2018,35,7
nhl,RW,2018,29,6
nhl,RW,2018,25,5
nhl,D,2018,46,15
nhl,D,2018,24,3
nhl,D,2018,29,7
nhl,D,2018,36,9
nhl,D,2018,40,11
nhl,RW,2017,46,12
nhl,RW,2018,46,15
nhl,C,2018,23,3
nhl,RW,2018,31,8
nhl,LW,2018,48,15
nhl,LW,2018,22,2
nhl,D,2018,33,9
nhl,D,2018,23,3
nhl,D,2018,47,13
nhl,D,2018,38,11
nhl,LW,2018,26,4
nhl,C,2018,24,3
nhl,D,2017,44,12
nhl,D,2018,25,3
nhl,D,2018,38,10
nhl,D,2018,37,10
nhl,C,2018,24,4
nhl,LW,2018,36,10
nhl,C,2018,39,11
nhl,C,2018,41,11
nhl,LW,2018,22,3
nhl,D,2017,23,2
nhl,C,2018,32,7
nhl,RW,2018,25,3
nhl,C,2018,26,4
nhl,D,2017,50,14
nhl,C,2018,32,8
nhl,D,2018,27,4
nhl,LW,2018,29,6
nhl,D,2018,28,3
nhl,D,2018,34,7
nhl,D,2018,48,15
nhl,D,2017,25,3
nhl,D,2018,29,6
nhl,D,2018,28,5
nhl,D,2018,26,5
nhl,D,2018,37,11
nhl,D,2018,26,5
nhl,LW,2018,22,4
nhl,LW,2017,38,8
nhl,RW,2018,37,8
nhl,LW,2017,33,7
nhl,C,2017,35,8
nhl,C,2018,26,5
nhl,LW,2018,23,3
nhl,D,2018,20,2
nhl,C,2018,25,4
nhl,RW,2018,25,3
nhl,C,2018,48,15
nhl,LW,2018,27,4
nhl,C,2018,31,8
nhl,D,2018,27,4
nhl,D,2018,41,9
nhl,RW,2018,26,3
nhl,D,2018,47,15
nhl,LW,2018,33,8
nhl,C,2018,43,13
nhl,RW,2018,34,8
nhl,D,2018,42,13
nhl,C,2017,35,7
nhl,LW,2018,23,4
nhl,RW,2018,21,2
nhl,D,2018,42,12
nhl,D,2018,22,2
nhl,D,2018,24,3
nhl,D,2018,31,7
nhl,D,2018,46,15
nhl,D,2018,28,5
nhl,LW,2018,40,12
nhl,C,2018,28,6
nhl,C,2018,28,4
nhl,C,2018,37,9
nhl,LW,2018,23,3
nhl,C,2018,35,6
nhl,D,2018,21,2
nhl,D,2018,46,13
nhl,C,2018,30,5
nhl,D,2018,32,8
nhl,D,2018,33,6
nhl,D,2017,43,12
nhl,D,2018,30,6
nhl,D,2018,41,11
nhl,D,2017,28,5
nhl,D,2018,33,8
nhl,D,2018,49,15
nhl,LW,2018,31,8
nhl,LW,2018,27,5
nhl,RW,2018,36,8
nhl,LW,2018,23,2
nhl,RW,2018,22,3
nhl,D,2018,25,3
nhl,C,2018,30,6
nhl,C,2018,24,2
nhl,LW,2018,34,9
nhl,D,2018,35,8
nhl,D,2018,44,12
nhl,D,2018,26,2
nhl,D,2018,32,8
nhl,D,2018,36,10
nhl,D,2018,32,5
nhl,D,2018,30,6
nhl,D,2018,49,15
nhl,D,2018,35,10
nhl,C,2018,30,7
nhl,LW,2018,22,3
nhl,D,2018,38,11
nhl,D,2017,46,14
nhl,LW,2018,37,11
nhl,C,2018,25,3
nhl,LW,2018,27,5
nhl,C,2018,34,8
nhl,LW,2018,32,8
nhl,C,2018,21,2
nhl,D,2018,42,13
nhl,LW,2018,19,2
nhl,C,2018,31,7
nhl,C,2018,49,15
nhl,D,2018,30,6
nhl,RW,2018,28,4
nhl,RW,2017,39,10
nhl,D,2017,32,7
nhl,C,2018,30,7
nhl,D,2018,31,7
nhl,D,2018,26,5
nhl,D,2018,28,5
nhl,C,2018,37,9
nhl,D,2018,41,12
nhl,RW,2018,28,5
nhl,LW,2018,31,5
nhl,C,2018,42,13
nhl,C,2018,28,6
nhl,D,2018,23,4
nhl,C,2018,24,4
nhl,D,2018,40,12
nhl,D,2018,25,3
nhl,RW,2017,46,14
nhl,D,2018,34,10
nhl,D,2018,26,4
nhl,D,2018,26,5
nhl,RW,2018,27,6
nhl,D,2018,22,2
nhl,RW,2018,25,4
nhl,C,2018,26,5
nhl,C/LW,2018,26,5
nhl,C,2017,32,5
nhl,C,2018,20,2
nhl,LW,2017,24,1
nhl,RW,2018,21,2
nhl,D,2018,25,3
nhl,C,2018,26,5
nhl,LW,2018,23,3
nhl,D,2018,23,3
nhl,RW,2018,26,3
nhl,D,2018,39,11
nhl,D,2018,31,7
nhl,D,2018,35,7
nhl,LW,2018,26,5
nhl,D,2018,37,9
nhl,D,2018,30,6
nhl,D,2018,33,8
nhl,C,2018,31,8
nhl,D,2018,24,5
nhl,C,2018,25,4
nhl,LW,2017,26,3
nhl,LW,2018,34,9
nhl,RW,2018,42,13
nhl,RW,2017,38,10
nhl,RW,2018,24,3
nhl,C,2018,27,5
nhl,RW,2018,29,7
nhl,LW,2018,23,3
nhl,D,2018,32,7
nhl,RW,2018,27,6
nhl,LW,2018,26,3
nhl,D,2018,27,5
nhl,D,2018,45,12
nhl,C,2017,28,5
nhl,D,2018,22,3
nhl,D,2017,23,2
nhl,D,2018,41,11
nhl,D,2018,40,10
nhl,D,2018,30,6
nhl,C,2018,26,3
nhl,LW,2018,22,2
nhl,C,2017,44,12
nhl,LW,2018,33,4
nhl,C,2017,33,7
nhl,C,2018,29,5
nhl,C,2018,32,7
nhl,C,2018,27,3
nhl,LW/C,2017,22,1
nhl,LW,2018,36,10
nhl,D,2018,25,5
nhl,D,2018,28,5
nhl,D,2018,26,2
nhl,D,2018,24,3
nhl,D,2017,28,4
nhl,RW,2018,18,2
nhl,D,2018,35,10
nhl,D,2018,36,10
nhl,D,2018,35,9
nhl,D,2018,24,2
nhl,C,2018,27,4
nhl,LW,2017,41,10
nhl,D,2018,28,6
nhl,RW,2018,46,15
nhl,LW,2018,43,10
nhl,RW,2018,24,2
nhl,LW,2018,21,2
nhl,C,2018,32,8
nhl,LW,2018,20,2
nhl,LW,2018,27,3
nhl,C,2018,27,5
nhl,C,2017,40,9
nhl,C,2017,47,14
nhl,RW,2018,27,2
nhl,D,2018,34,8
nhl,D,2018,22,2
nhl,D,2018,37,9
nhl,D,2018,22,3
nhl,LW,2018,24,3
nhl,LW,2018,21,2
nhl,D,2018,25,3
nhl,D,2018,40,10
nhl,D,2018,25,5
nhl,D,2018,27,5
nhl,C,2018,21,3
nhl,D,2018,27,5
nhl,D,2018,28,4
nhl,D,2018,31,5
nhl,LW,2018,41,11
nhl,LW,2017,25,1
nhl,LW,2018,24,3
nhl,RW,2018,31,7
nhl,RW,2018,20,2
nhl,C,2018,22,2
nhl,LW,2018,20,2
nhl,D,2018,27,4
nhl,D,2018,32,6
nhl,LW,2018,20,2
nhl,D,2018,22,2
nhl,RW,2017,39,7
nhl,D,2018,43,13
nhl,D,2018,30,7
nhl,D,2018,31,5
nhl,D,2017,27,3
nhl,D,2017,34,8
nhl,D,2018,27,5
nhl,D,2018,37,9
nhl,D,2018,31,7
nhl,D,2018,30,6
nhl,RW,2018,19,2
nhl,LW,2018,21,2
nhl,C,2018,26,3
nhl,LW,2018,20,2
nhl,D,2018,20,2
nhl,RW,2018,32,7
nhl,D,2018,33,9
nhl,D,2018,33,9
nhl,D,2018,37,10
nhl,D,2017,44,11
nhl,RW,2018,26,3
nhl,D,2018,21,2
nhl,RW,2018,22,3
nhl,C,2017,27,3
nhl,LW,2018,23,3
nhl,D,2017,32,6
nhl,C,2018,26,4
nhl,D,2017,49,14
nhl,D,2018,32,6
nhl,RW,2018,21,2
nhl,RW,2018,44,13
nhl,D,2018,27,2
nhl,RW,2018,22,3
nhl,RW,2018,41,12
nhl,C,2018,27,3
nhl,C,2018,31,7
nhl,LW,2017,49,14
nhl,C,2017,26,2
nhl,D,2018,31,7
nhl,RW,2018,27,4
nhl,RW,2017,34,7
nhl,D,2017,43,12
nhl,LW,2018,26,3
nhl,LW,2017,31,5
nhl,LW,2017,52,14
nhl,LW,2017,34,6
nhl,D,2018,32,7
nhl,LW,2018,31,6
nhl,RW,2018,38,10
nhl,D,2017,32,7
nhl,LW,2018,21,2
nhl,C,2017,30,6
nhl,RW,2018,23,4
nhl,RW,2017,50,14
nhl,C,2018,20,2
nhl,RW,2018,24,2
nhl,C,2018,30,6
nhl,D,2017,36,8
nhl,D,2018,24,4
nhl,D,2017,47,14
nhl,D,2018,28,4
nhl,RW,2018,25,3
nhl,LW,2018,21,2
nhl,RW,2018,19,2
nhl,RW/LW,2018,22,3
nhl,LW,2018,27,5
nhl,C,2018,22,3
nhl,LW,2017,36,6
nhl,C,2018,22,3
nhl,RW,2017,27,1
nhl,C,2018,25,3
nhl,RW,2017,46,14
nhl,LW,2018,27,5
nhl,D,2018,32,7
nhl,C,2018,33,8
nhl,D,2018,25,4
nhl,D,2017,49,12
nhl,D,2017,38,8
nhl,D,2018,30,4
nhl,RW,2018,39,11
nhl,D,2018,27,4
nhl,D,2018,25,4
nhl,D,2018,27,5
nhl,D,2018,23,3
nhl,D,2017,32,4
nhl,RW,2017,29,2
nhl,RW,2017,25,2
nhl,C,2018,22,3
nhl,C,2018,28,5
nhl,LW,2017,28,4
nhl,LW,2018,23,2
nhl,D,2018,34,8
nhl,LW,2018,21,2
nhl,C,2018,25,2
nhl,LW,2018,42,11
nhl,D,2017,44,12
nhl,LW,2018,24,3
nhl,D,2018,34,8
nhl,LW,2018,23,3
nhl,LW,2017,45,14
nhl,D,2018,23,4
nhl,C,2018,23,2
nhl,C,2018,42,12
nhl,LW,2018,27,4
nhl,C,2018,23,2
nhl,LW,2018,21,2
nhl,LW,2018,28,5
nhl,C,2017,26,1
nhl,D,2017,35,7
nhl,LW,2018,26,3
nhl,LW,2018,23,3
nhl,LW,2018,18,2
nhl,D,2017,28,4
nhl,D,2018,27,6
nhl,LW,2017,40,10
nhl,RW,2018,26,5
nhl,D,2018,23,2
nhl,LW,2017,38,10
nhl,C,2017,30,5
nhl,D,2017,35,7
nhl,C,2018,21,2
nhl,LW,2017,40,11
nhl,C,2017,46,14
nhl,D,2017,28,3
nhl,C,2017,23,1
nhl,C,2018,18,2
nhl,LW/RW,2018,27,5
nhl,RW,2018,21,3
nhl,LW,2018,23,3
nhl,C,2017,39,8
nhl,D,2017,27,4
nhl,C,2018,26,2
nhl,LW,2018,25,3
nhl,C,2018,23,2
nhl,D,2018,24,3
nhl,RW,2018,21,2
nhl,LW,2018,38,11
nhl,LW,2018,21,2
nhl,C,2018,23,3
nhl,D,2017,43,12
nhl,D,2018,20,2
nhl,D,2018,29,5
nhl,LW,2017,36,7
nhl,RW,2018,22,3
nhl,RW,2017,24,2
nhl,C,2017,25,3
nhl,C,2018,23,2
nhl,D,2017,29,5
nhl,RW,2018,25,4
nhl,LW,2018,20,2
nhl,C,2018,25,4
nhl,C,2018,24,2
nhl,LW,2017,26,1
nhl,D,2018,21,2
nhl,D,2018,26,4
nhl,RW,2018,18,2
nhl,C,2018,38,10
nhl,D,2017,34,5
nhl,LW,2018,24,3
nhl,RW,2017,26,1
nhl,LW,2017,27,2
nhl,LW,2017,23,2
nhl,C,2018,23,3
nhl,LW,2017,22,1
nhl,RW,2017,22,1
nhl,C,2017,33,5
nhl,C,2018,19,2
nhl,LW,2017,22,2
nhl,RW,2018,21,3
nhl,D,2018,29,5
nhl,LW,2017,31,4
nhl,D,2018,20,2
nhl,D,2017,23,1
nhl,RW,2017,27,3
nhl,RW,2017,22,1
nhl,C,2018,19,2
nhl,C,2017,39,10
nhl,LW,2017,29,5
nhl,LW,2018,21,2
nhl,RW,2018,40,12
nhl,LW,2018,31,7
nhl,C,2017,26,3
nhl,D,2018,28,2
nhl,D,2018,38,10
nhl,RW,2017,28,4
nhl,C,2017,30,1
nhl,C,2018,31,5
nhl,D,2017,20,1
nhl,D,2018,20,2
nhl,RW,2017,36,7
nhl,D,2018,27,6
nhl,LW,2018,23,4
nhl,C,2018,22,2
nhl,D,2017,30,6
nhl,RW,2017,27,1
nhl,D,2018,21,2
nhl,LW,2017,28,5
nhl,RW,2017,30,3
nhl,C,2017,20,1
nhl,RW,2018,23,2
nhl,C,2018,26,3
nhl,LW,2017,30,4
nhl,D,2017,27,4
nhl,RW,2017,26,2
nhl,D,2017,42,11
nhl,D,2017,23,1
nhl,D,2018,19,2
nhl,RW,2017,19,1
nhl,D,2018,21,2
nhl,D,2018,26,3
nhl,D,2018,23,3
nhl,D,2018,26,2
nhl,C,2018,21,2
nhl,C,2017,29,5
nhl,C,2018,22,2
nhl,RW,2017,27,5
nhl,D,2017,25,2
nhl,C,2017,26,1
nhl,LW,2018,20,2
nhl,D,2017,22,1
nhl,C,2017,40,6
nhl,LW,2018,23,2
nhl,LW,2018,23,2
nhl,C,2017,23,1
nhl,D,2017,19,1
nhl,D,2018,30,6
nhl,C,2018,26,6
nhl,D,2018,22,3
nhl,LW,2018,27,2
nhl,D,2017,25,3
nhl,D,2018,22,2
nhl,LW,2017,41,11
nhl,C,2017,21,1
nhl,D,2017,35,8
nhl,RW,2018,25,3
nhl,D,2017,22,1
nhl,RW,2017,24,2
nhl,D,2018,24,2
nhl,D,2017,47,14
nhl,LW,2018,21,3
nhl,RW,2017,25,1
nhl,RW,2018,24,2
nhl,C,2017,23,1
nhl,D,2018,21,2
nhl,D,2017,30,2
nhl,D,2018,25,3
nhl,D,2018,31,7
nhl,C,2017,23,1
nhl,D,2017,20,1
nhl,LW,2018,24,4
nhl,D,2018,23,2
nhl,D,2018,26,4
nhl,D,2017,40,9
nhl,LW,2018,22,3
nhl,C,2017,38,9
nhl,C,2017,23,1
nhl,D,2018,25,4
nhl,D,2018,23,3
nhl,LW,2017,40,10
nhl,RW,2017,26,3
nhl,D,2017,22,1
nhl,C,2017,23,1
nhl,RW,2017,26,2
nhl,C,2018,23,2
nhl,C,2018,20,2
nhl,D,2017,23,1
nhl,RW,2018,25,4
nhl,D,2018,18,2
nhl,D,2018,25,4
nhl,D,2017,0,1
nhl,C,2017,39,9
nhl,C,2017,20,1
nhl,C,2018,23,3
nhl,C,2018,23,3
nhl,RW,2018,20,2
nhl,LW,2017,24,1
nhl,RW,2017,32,6
nhl,RW,2018,20,2
nhl,RW,2017,24,1
nhl,C,2017,29,4
nhl,RW,2017,23,1
nhl,RW,2017,28,4
nhl,D,2018,23,2
nhl,C,2018,20,2
nhl,D,2017,26,4
nhl,LW,2017,27,4
nhl,RW,2018,35,11
nhl,LW,2018,32,9
nhl,C,2018,38,13
nhl,C,2018,48,15
nhl,D,2018,31,9
nhl,C,2018,40,12
nhl,LW,2018,24,5
nhl,RW,2018,36,10
nhl,LW,2018,24,3
nhl,C,2018,25,5
nhl,D,2018,42,15
nhl,RW,2018,27,6
nhl,C,2018,37,12
nhl,C,2018,29,8
nhl,LW,2018,40,13
nhl,C,2018,31,9
nhl,C,2018,36,11
nhl,C,2018,42,15
nhl,C,2018,36,11
nhl,D,2018,37,12
nhl,RW,2018,24,5
nhl,RW,2018,55,15
nhl,LW,2018,29,8
nhl,C,2018,32,10
nhl,LW,2018,24,6
nhl,LW,2018,34,10
nhl,RW,2018,35,11
nhl,C,2018,44,15
nhl,RW,2018,39,12
nhl,C,2018,23,5
nhl,C,2018,38,12
nhl,C,2018,40,13
nhl,RW,2018,40,13
nhl,C,2018,41,13
nhl,LW,2018,33,9
nhl,C,2018,26,7
nhl,LW,2018,47,15
nhl,RW,2018,33,8
nhl,RW,2018,26,6
nhl,D,2018,29,7
nhl,RW,2018,34,10
nhl,C,2018,30,9
nhl,LW,2018,42,13
nhl,C,2018,27,7
nhl,C,2018,31,9
nhl,LW,2018,30,7
nhl,C,2018,22,5
nhl,RW,2018,37,12
nhl,C,2018,30,9
nhl,LW,2018,25,6
nhl,RW,2018,35,10
nhl,C,2018,26,6
nhl,C,2018,35,11
nhl,C,2018,36,11
nhl,C,2018,38,12
nhl,D,2018,24,4
nhl,RW,2018,29,8
nhl,C,2018,24,6
nhl,C,2018,19,3
nhl,RW,2018,36,11
nhl,D,2018,42,13
nhl,C,2018,42,13
nhl,D,2018,29,8
nhl,LW,2018,35,11
nhl,LW,2018,46,15
nhl,C,2018,47,15
nhl,RW,2018,33,10
nhl,C,2018,45,15
nhl,LW,2018,27,7
nhl,RW,2018,30,7
nhl,LW,2018,41,13
nhl,C,2018,24,5
nhl,C,2018,30,8
nhl,C,2018,43,15
nhl,LW,2018,27,7
