playerid,sport,position,retire_year,retire_age,years_played
Cedric Benson,NFL,RB,2013,31,5
Bill Bentley,NFL,CB,2013,24,5
Kevin Bentley,NFL,LB,2013,34,5
Justin Bethel,NFL,CB,2013,23,8
McLeod Bethel-Thompson,NFL,QB,2013,25,8
Jerome Bettis,NFL,RB,2013,41,8
Ladell Betts,NFL,RB,2013,34,8
Tim Biakabutuka,NFL,RB,2001,27,6
Erik Bickerstaff,NFL,RB,2003,23,1
Taye Biddle,NFL,WR,2006,23,1
Armon Binns,NFL,WR,2012,23,2
Bront Bird,NFL,LB,2013,24,3
Avion Black,NFL,WR,2013,36,3
Conroy Black,NFL,CB,2013,25,3
Nathan Black,NFL,WR,2013,35,3
Quincy Black,NFL,LB,2013,29,3
Chase Blackburn,NFL,LB,2013,30,3
Justin Blackmon,NFL,WR,2013,23,3
Darryl Blackstock,NFL,LB,2013,30,3
Will Blackwell,NFL,WR,2013,38,3
H.B. Blades,NFL,LB,2013,29,3
Michael Blair,NFL,RB,2013,39,3
Antwon Blake,NFL,CB,2013,23,3
Jeff Blake,NFL,QB,2013,43,3
Matt Blanchard,NFL,QB,2013,24,3
Tony Bland,NFL,WR,2013,41,3
Robert Blanton,NFL,CB,2013,24,3
Derrick Blaylock,NFL,RB,2013,34,3
Eric Blount,NFL,WR,1999,29,3
Shaun Bodiford,NFL,WR,2011,29,9
Dontavia Bogan,NFL,WR,2011,23,1
Rocky Boiman,NFL,LB,2009,29,8
Lorenzo Booker,NFL,RB,2005,21,1
Marty Booker,NFL,WR,2005,29,1
Tommie Boyd,NFL,WR,1989,18,9
Brant Boyer,NFL,LB,1989,18,9
Steve Breaston,NFL,WR,2012,29,6
Drew Brees,NFL,QB,2012,33,6
Dewell Brewer,NFL,RB,2012,42,6
Tony Bua,NFL,LB,2004,24,1
Marc Bulger,NFL,QB,2013,36,4
Courtland Bullard,NFL,LB,2013,35,4
Kendricke Bullard,NFL,WR,2013,41,4
Keith Bulluck,NFL,LB,2013,36,4
Hillary Butler,NFL,LB,1996,25,11
Butler By'not'e,NFL,RB,1995,23,2
Kenny Bynum,NFL,RB,1997,23,14
Greg Camarillo,NFL,WR,2012,30,7
Jason Campbell,NFL,QB,2012,31,7
Kelly Campbell,NFL,WR,2012,32,7
Khary Campbell,NFL,LB,2012,33,7
Michael Campbell,NFL,WR,2012,23,7
Alan Campos,NFL,LB,2012,39,7
Jehuu Caulcrick,NFL,RB,2010,27,1
Marq Cerqua,NFL,LB,2002,25,3
Robert Chancey,NFL,RB,1992,20,10
Mike Cherry,NFL,QB,2013,40,2
Darrin Chiaverini,NFL,WR,2002,25,4
Bam Childress,NFL,WR,2002,20,4
O.J. Childress,NFL,LB,2002,26,4
Ron Childs,NFL,LB,2002,31,4
Brandon Chillar,NFL,LB,2002,20,4
Patrick Chukwurah,NFL,LB,2007,28,7
Vinny Ciurciu,NFL,LB,2010,30,8
Kellen Clemens,NFL,QB,2013,30,1
Chuck Clements,NFL,QB,2013,40,1
Charlie Clemons,NFL,LB,2013,41,1
Chris Clemons,NFL,LB,2013,32,1
Toney Clemons,NFL,WR,2013,25,1
Mike Cloud,NFL,RB,2011,36,3
David Clowney,NFL,WR,2011,26,3
Jon Condo,NFL,LB,2004,23,8
Steve Conley,NFL,LB,2004,32,8
Albert Connell,NFL,WR,2004,30,8
Dan Connor,NFL,LB,2004,19,8
Curtis Conway,NFL,WR,2004,33,8
Andre Cooper,NFL,WR,1999,24,5
Rafael Cooper,NFL,RB,1999,24,5
Stephen Cooper,NFL,LB,1999,20,5
Jerricho Cotchery,NFL,WR,2002,20,8
Kenyon Cotton,NFL,RB,2002,28,8
Dana Cottrell,NFL,LB,2002,28,8
Tim Couch,NFL,QB,2003,26,5
Damien Covington,NFL,LB,1990,18,8
Ray Crittenden,NFL,WR,1989,19,1
Quinton Culberson,NFL,LB,2009,24,3
Derrick Cullors,NFL,RB,2009,37,3
Daunte Culpepper,NFL,QB,2009,32,3
Joe Cummings,NFL,LB,2013,39,4
B.J. Cunningham,NFL,WR,2013,24,12
Benny Cunningham,NFL,RB,2013,23,12
Jermaine Cunningham,NFL,LB,2013,25,12
Sederrik Cunningham,NFL,WR,2013,24,12
Brian Cushing,NFL,LB,2013,26,5
Randy Cuthbert,NFL,RB,1994,24,2
Weston Dacus,NFL,LB,2003,18,1
Anthony Daigle,NFL,RB,1994,24,1
Casey Dailey,NFL,LB,1994,19,1
Kirby Dar Dar,NFL,WR,1998,26,4
James Darling,NFL,LB,1998,24,4
Billy Davis,NFL,WR,1994,22,3
Don Davis,NFL,LB,1994,22,3
Stephen Davis,NFL,RB,1994,20,3
Terrell Davis,NFL,RB,1994,22,3
Thabiti Davis,NFL,WR,1994,19,3
Troy Davis,NFL,RB,1994,19,3
Tyree Davis,NFL,WR,1994,24,3
Zola Davis,NFL,WR,1994,19,3
Jerone Davison,NFL,RB,1994,24,3
Sean Dawkins,NFL,WR,2011,40,16
Clifton Dawson,NFL,RB,2011,28,16
JaJuan Dawson,NFL,WR,2011,34,16
Lake Dawson,NFL,WR,2011,39,16
Skye Dawson,NFL,WR,2011,21,16
Larry Dean,NFL,LB,2013,25,4
Allen J. DeGraffenreid,NFL,WR,2012,42,3
Dan DePalma,NFL,WR,2013,24,3
Lee DeRamus,NFL,WR,1996,24,2
James Develin,NFL,RB,2012,24,4
Pat Devlin,NFL,QB,2012,24,4
Todd Devoe,NFL,WR,2012,32,4
Dahrran Diedrick,NFL,RB,2004,25,1
Na'il Diggs,NFL,LB,2011,33,12
John DiGiorgio,NFL,LB,2011,29,12
Zach Diles,NFL,LB,2013,28,7
Trent Dilfer,NFL,QB,2013,41,7
Jarett Dillard,NFL,WR,2013,28,7
Phillip Dillard,NFL,LB,2013,27,7
Corey Dillon,NFL,RB,2013,39,7
Jayson DiManche,NFL,LB,2013,23,1
Nate Dingle,NFL,LB,2003,32,5
Jordon Dizon,NFL,LB,2009,23,2
Tandon Doss,NFL,WR,2008,19,6
Todd Doxzon,NFL,WR,1998,23,1
Chris Draft,NFL,LB,2009,33,12
Shaun Draughn,NFL,RB,2009,22,12
Reuben Droughns,NFL,RB,2001,23,10
Jim Druckenmiller,NFL,QB,1998,26,2
Eddie Drummond,NFL,WR,1998,18,2
T.J. Duckett,NFL,RB,2013,32,4
Troy Dumas,NFL,LB,2000,28,10
Justin Durant,NFL,LB,2011,26,2
Kris Durham,NFL,WR,2011,23,2
Tim Dwight,NFL,WR,2007,32,10
Zac Dysert,NFL,QB,2013,23,1
Kevin Dyson,NFL,WR,2013,38,1
