playerID,sport,position,start_year,start_age,years_played
Marrio Grier,NFL,4,2001,30,1
Brian Griese,NFL,1,2001,26,1
Damon Griffin,NFL,2,2001,25,1
Kris Griffin,NFL,3,2001,20,1
Quentin Griffin,NFL,4,2001,20,1
Boomer Grigsby,NFL,3,2001,20,1
Clif Groce,NFL,4,1995,23,6
Matt Grootegoed,NFL,3,1995,13,6
Rex Grossman,NFL,1,1995,15,6
Derek Hagan,NFL,2,2006,22,7
Marques Hagans,NFL,2,2006,24,7
Mario Haggan,NFL,3,2006,26,7
Clark Haggans,NFL,3,2006,29,7
Johnathan Haggerty,NFL,2,2006,18,7
Tyjuan Hagler,NFL,3,2006,25,7
Az-Zahir Hakim,NFL,2,1998,21,9
Ahmard Hall,NFL,4,1996,17,4
Andy Hall,NFL,1,1996,16,4
Dante Hall,NFL,2,1996,18,4
Lemanski Hall,NFL,3,1996,26,4
Tim Hall,NFL,4,1996,22,4
Ty Hallock,NFL,4,1996,25,4
Darren Hambrick,NFL,3,2000,25,2
Troy Hambrick,NFL,4,2000,24,2
Gibran Hamdan,NFL,1,2000,19,2
Derrick Hamilton,NFL,2,2000,19,2
James Hamilton,NFL,3,2000,26,2
Joe Hamilton,NFL,1,2000,23,2
Justin Hamilton,NFL,4,2000,18,2
Lawrence Hamilton,NFL,2,2000,20,2
Malcolm Hamilton,NFL,3,2000,28,2
Michael Hamilton,NFL,3,2000,27,2
Rick Hamilton,NFL,3,2000,30,2
Ruffin Hamilton,NFL,3,2000,29,2
Montario Hardesty,NFL,4,2006,19,8
James Hardy,NFL,2,2006,21,8
Kevin Hardy,NFL,3,2006,33,8
Chandler Harnish,NFL,1,2006,18,8
Chris Harper,NFL,2,2006,17,8
Jamie Harper,NFL,4,2006,17,8
Justin Harper,NFL,2,2006,21,8
Gary Harrell,NFL,2,2006,34,8
Graham Harrell,NFL,1,2006,21,8
Joey Harrington,NFL,1,2006,28,8
Anthony Harris,NFL,3,2006,33,8
Arlen Harris,NFL,4,2006,26,8
Atnaf Harris,NFL,2,2006,27,8
Bernardo Harris,NFL,3,2006,35,8
Chris Harris,NFL,4,2006,17,8
David Harris,NFL,3,2006,22,8
Derrick Harris,NFL,4,2006,34,8
DuJuan Harris,NFL,4,2006,18,8
Dwayne Harris,NFL,2,2006,19,8
Gilbert Harris,NFL,4,2006,22,8
Jerrell Harris,NFL,3,2006,17,8
Joey Harris,NFL,4,2006,26,8
Kay-Jay Harris,NFL,4,2006,27,8
Marcus Harris,NFL,2,2006,17,8
Mark Harris,NFL,2,2006,36,8
Marques Harris,NFL,3,2006,25,8
Mike Harris,NFL,4,2006,18,8
Napoleon Harris,NFL,3,2006,27,8
Nate Harris,NFL,3,2006,23,8
Nic Harris,NFL,3,2006,20,8
Raymont Harris,NFL,4,2006,36,8
Ronnie Harris,NFL,2,2006,36,8
Rudy Harris,NFL,4,2006,35,8
Sean Harris,NFL,3,2006,34,8
Arnold Harrison,NFL,3,2006,24,8
James Harrison,NFL,3,2006,28,8
Jerome Harrison,NFL,4,2006,23,8
Kevin Harrison,NFL,3,2006,25,8
Mark Harrison,NFL,2,2006,16,8
Marvin Harrison,NFL,2,2006,34,8
Tyreo Harrison,NFL,3,2006,26,8
Mike Hart,NFL,4,2006,20,8
Brian Hartline,NFL,2,2006,20,8
Mark Hartsell,NFL,1,2006,33,8
Ed Hartwell,NFL,3,2006,28,8
Frank Harvey,NFL,4,2006,35,8
