player_ID,sport,position,start_year,start_age,years_played
Marty Byrnes,NBA,F,1979,44,5
Zarko Cabarkapa,NBA,F,2004,42,3
Barney Cable,NBA,F,1959,34,6
Bruno Caboclo,NBA,F,2015,26,4
Jason Caffey,NBA,F,1996,15,8
Michael Cage,NBA,multi,1985,19,16
Jose Calderon,NBA,G,2006,13,13
Jim Caldwell,NBA,C,1968,18,2
Corky Calhoun,NBA,F,1973,49,8
Demetrius Calip,NBA,G,1992,45,1
Mack Calvin,NBA,G,1970,8,12
Brian Cardinal,NBA,F,2001,42,12
Rick Carlisle,NBA,G,1985,53,6
Al Carlson,NBA,C,1976,59,1
Rodney Carney,NBA,F,2007,33,5
Antoine Carr,NBA,multi,1985,30,16
Austin Carr,NBA,G,1972,21,10
Cory Carr,NBA,G,1999,46,1
M.L. Carr,NBA,multi,1976,18,10
DeMarre Carroll,NBA,F,2010,35,9
Joe Barry Carroll,NBA,multi,1981,23,11
Jimmy Carruth,NBA,multi,1997,53,1
Anthony Carter,NBA,G,2000,39,13
George Carter,NBA,multi,1968,11,9
Howard Carter,NBA,G,1984,28,2
Reggie Carter,NBA,G,1981,24,2
Ron Carter,NBA,G,1979,38,2
Vince Carter,NBA,multi,1999,5,20
Bill Cartwright,NBA,C,1980,30,16
Alex Caruso,NBA,G,2018,30,1
Cornelius Cash,NBA,F,1977,26,1
Omri Casspi,NBA,F,2010,36,9
Harvey Catchings,NBA,multi,1975,17,11
Bobby Cattage,NBA,F,1982,23,5
Willie Cauley-Stein,NBA,multi,2016,47,3
Duane Causwell,NBA,C,1991,14,11
John Celestand,NBA,G,2000,51,1
Mario Chalmers,NBA,G,2009,50,10
Tom Chambers,NBA,multi,1982,36,17
Tyson Chandler,NBA,C,2002,35,17
Don Chaney,NBA,G,1969,28,12
Rex Chapman,NBA,G,1989,26,12
Ken Charles,NBA,G,1974,24,5
Calbert Cheaney,NBA,multi,1994,27,13
Maurice Cheeks,NBA,G,1979,11,15
Will Cherry,NBA,G,2015,43,1
Derrick Chievous,NBA,F,1989,22,3
Leroy Chollet,NBA,F,1950,23,2
Jim Chones,NBA,multi,1973,27,10
Marquese Chriss,NBA,F,2017,47,2
Doug Christie,NBA,multi,1993,5,15
Rakeem Christmas,NBA,F,2016,44,2
Patrick Christopher,NBA,multi,2015,55,1
Carlos Clark,NBA,G,1984,40,2
Earl Clark,NBA,F,2010,18,6
Ian Clark,NBA,G,2014,22,5
Jordan Clarkson,NBA,G,2015,45,4
Gian Clavell,NBA,G,2018,40,1
Charles Claxton,NBA,C,1996,53,1
Jim Cleamons,NBA,G,1972,50,9
Nat Clifton,NBA,multi,1951,34,8
