player_ID,sport,position,retire_year,retire_age,years_played
Gary Bergen,NBA,1,1957,12,1
Larry Bergh,NBA,3,1970,6,1
Ricky Berry,NBA,3,1989,25,1
Walter Berry,NBA,3,1989,-3,3
Davis Bertans,NBA,3,2018,62,2
Del Beshore,NBA,2,1980,8,2
Travis Best,NBA,2,2005,17,10
Patrick Beverley,NBA,2,2018,26,6
Sim Bhullar,NBA,1,2015,70,1
Wesley Bialosuknia,NBA,2,1968,36,1
Al Bianchi,NBA,2,1966,44,10
Hank Biasatti,NBA,2,1947,-2,1
Henry Bibby,NBA,2,1981,3,9
Mike Bibby,NBA,2,2012,67,14
Ed Biedenbach,NBA,2,1969,-17,1
Andris Biedrins,NBA,1,2014,61,10
,NBA,,nan,nan,nan
Bob Bigelow,NBA,0,1979,3,4
Lionel Billingy,NBA,0,1975,32,1
Chauncey Billups,NBA,2,2014,53,17
Dave Bing,NBA,2,1978,-14,12
Joe Binion,NBA,3,1987,-7,1
Khem Birch,NBA,0,2018,83,1
Jabari Bird,NBA,2,2018,62,1
Jerry Bird,NBA,3,1959,4,1
Larry Bird,NBA,3,1992,70,13
Otis Birdsong,NBA,2,1989,-3,12
Gale Bishop,NBA,3,1949,-39,1
Bismack Biyombo,NBA,0,2018,56,7
Nemanja Bjelica,NBA,3,2018,97,3
Uwe Blab,NBA,1,1990,33,5
Charlie Black,NBA,0,1952,-39,4
Norman Black,NBA,2,1981,40,1
Tarik Black,NBA,0,2018,59,4
Tom Black,NBA,1,1971,1,1
Rolando Blackman,NBA,2,1994,31,13
Alex Blackwell,NBA,3,1993,25,1
Cory Blackwell,NBA,3,1985,20,1
James Blackwell,NBA,2,1995,6,1
Nate Blackwell,NBA,2,1988,8,1
DeJuan Blair,NBA,0,2016,20,7
Steve Blake,NBA,2,2016,33,13
Antonio Blakeney,NBA,2,2018,79,1
Will Blalock,NBA,2,2007,41,1
George Blaney,NBA,2,1962,-4,1
Lance Blanks,NBA,2,1993,7,3
Ricky Blanton,NBA,3,1993,26,1
Andray Blatche,NBA,3,2014,25,9
Mookie Blaylock,NBA,2,2002,76,13
Eric Bledsoe,NBA,2,2018,74,8
Leon Blevins,NBA,2,1951,36,1
John Block,NBA,0,1976,7,10
Mike Bloom,NBA,0,1949,-26,2
Corie Blount,NBA,3,2004,12,11
Mark Blount,NBA,1,2009,51,9
Vander Blue,NBA,2,2018,94,5
Ray Blume,NBA,2,1982,3,1
Nelson Bobb,NBA,2,1953,20,4
Tony Bobbitt,NBA,2,2005,60,1
Bucky Bockhorn,NBA,2,1965,-15,7
Tom Boerwinkle,NBA,1,1978,-14,10
Keith Bogans,NBA,0,2014,25,11
Bogdan Bogdanovic,NBA,2,2018,53,1
Bojan Bogdanovic,NBA,0,2018,34,4
Muggsy Bogues,NBA,2,2001,28,14
Andrew Bogut,NBA,1,2018,56,13
Etdrick Bohannon,NBA,3,2001,70,4
Manute Bol,NBA,1,1995,1,10
Bill Bolger,NBA,3,1954,23,1
Joel Bolomboy,NBA,3,2018,83,2
Doug Bolstorff,NBA,2,1958,4,1
George Bon Salle,NBA,3,1962,-7,1
Phil Bond,NBA,2,1978,8,1
Walter Bond,NBA,2,1995,53,3
Dexter Boney,NBA,2,1997,29,1
Ron Bonham,NBA,3,1968,-12,4
Anthony Bonner,NBA,3,1996,51,6
Matt Bonner,NBA,3,2016,20,12
Butch Booker,NBA,1,1970,-2,1
Devin Booker,NBA,2,2018,31,3
Melvin Booker,NBA,2,1997,13,2
Trevor Booker,NBA,3,2018,72,8
Josh Boone,NBA,0,2010,34,4
Ron Boone,NBA,0,1981,7,13
Calvin Booth,NBA,1,2009,72,10
Keith Booth,NBA,3,1999,18,2
Bob Boozer,NBA,3,1971,-9,11
Carlos Boozer,NBA,0,2015,88,13
Curtis Borchardt,NBA,1,2005,33,2
Jake Bornheimer,NBA,0,1950,26,2
Lazaro Borrell,NBA,3,2000,73,1
Ike Borsavage,NBA,0,1951,-33,1
Vince Boryla,NBA,3,1954,1,5
Chris Bosh,NBA,0,2016,60,13
Jim Bostic,NBA,3,1978,25,1
Lawrence Boston,NBA,3,1980,2,1
Tom Boswell,NBA,0,1984,59,9
Ruben Boumtje-Boumtje,NBA,1,2004,27,3
Don Boven,NBA,0,1953,-18,4
Cal Bowdler,NBA,3,2002,27,3
Bruce Bowen,NBA,3,2009,69,13
Ryan Bowen,NBA,3,2010,47,11
Tommie Bowens,NBA,0,1970,9,3
Anthony Bowie,NBA,0,1998,59,10
Sam Bowie,NBA,0,1995,22,11
Orbie Bowling,NBA,1,1968,25,1
Ira Bowman,NBA,2,2002,29,3
Nate Bowman,NBA,1,1972,18,6
Donnie Boyce,NBA,2,1997,47,2
Dennis Boyd,NBA,2,1979,27,1
Freddie Boyd,NBA,2,1978,2,6
Ken Boyd,NBA,3,1975,53,1
Earl Boykins,NBA,2,2012,55,14
Harry Boykoff,NBA,1,1951,-32,2
Winford Boynes,NBA,0,1981,31,3
Cedric Bozeman,NBA,2,2007,20,1
Steve Bracey,NBA,2,1975,33,3
Craig Brackins,NBA,3,2012,53,2
Gary Bradds,NBA,3,1971,18,7
Alex Bradley,NBA,3,1982,-8,1
Alonzo Bradley,NBA,3,1980,39,3
Avery Bradley,NBA,2,2018,75,8
Bill Bradley,NBA,2,1968,9,1
Bill Bradley,NBA,0,1977,20,10
Charles Bradley,NBA,2,1984,32,3
Dudley Bradley,NBA,0,1989,61,10
Jim Bradley,NBA,3,1976,-3,3
Joe Bradley,NBA,2,1950,-22,1
Michael Bradley,NBA,0,2006,8,5
Shawn Bradley,NBA,1,2005,37,12
Tony Bradley,NBA,0,2018,48,1
Mark Bradtke,NBA,0,1997,21,1
Marques Bragg,NBA,3,1996,19,1
Torraye Braggs,NBA,3,2005,42,2
A.J. Bramlett,NBA,1,2000,21,1
Adrian Branch,NBA,0,1990,20,4
Elton Brand,NBA,3,2016,91,17
Terrell Brandon,NBA,2,2002,44,11
Bob Brannum,NBA,0,1955,13,6
Brad Branson,NBA,0,1983,52,2
Jesse Branson,NBA,3,1968,13,3
Jim Brasco,NBA,2,1953,26,1
Mike Bratz,NBA,2,1986,16,9
Carl Braun,NBA,0,1962,-18,15
Tim Breaux,NBA,3,1998,62,4
J.R. Bremer,NBA,2,2004,74,2
Pete Brennan,NBA,3,1959,-1,1
Tom Brennan,NBA,3,1955,-31,1
Randy Breuer,NBA,1,1994,14,11
Corey Brewer,NBA,0,2018,67,11
Jamison Brewer,NBA,2,2005,50,4
Jim Brewer,NBA,0,1982,-3,9
Ron Brewer,NBA,2,1986,7,8
Ronnie Brewer,NBA,0,2014,91,8
Primoz Brezec,NBA,1,2010,51,9
Frankie Brian,NBA,2,1956,3,7
Frank Brickowski,NBA,0,1997,58,13
Junior Bridgeman,NBA,0,1987,64,12
Bill Bridges,NBA,0,1975,52,13
Al Brightman,NBA,3,1947,0,1
Aud Brindley,NBA,3,1947,-4,1
John Brisker,NBA,0,1975,31,6
Allan Bristow,NBA,0,1983,31,10
Tyrone Britt,NBA,2,1968,5,1
Wayman Britt,NBA,2,1978,20,1
Mike Brittain,NBA,1,1987,0,2
Dave Britton,NBA,2,1981,23,1
Jon Brockman,NBA,3,2012,20,3
Jim Brogan,NBA,2,1983,29,2
Malcolm Brogdon,NBA,2,2018,98,2
Gary Brokaw,NBA,2,1978,-7,4
Price Brookfield,NBA,0,1950,-46,2
,NBA,,nan,nan,nan
Aaron Brooks,NBA,2,2018,29,11
Dillon Brooks,NBA,0,2018,60,1
Kevin Brooks,NBA,3,1994,29,3
MarShon Brooks,NBA,0,2014,33,3
Michael Brooks,NBA,3,1988,-4,8
Scott Brooks,NBA,2,1998,75,10
Andre Brown,NBA,3,2009,25,3
Anthony Brown,NBA,0,2017,49,2
Bob Brown,NBA,3,1950,-29,2
Bobby Brown,NBA,2,2018,95,10
Chucky Brown,NBA,3,2002,34,13
Damone Brown,NBA,3,2005,21,4
Darrell Brown,NBA,3,1949,-38,1
Dee Brown,NBA,2,2002,24,12
Dee Brown,NBA,2,2009,30,3
Derrick Brown,NBA,3,2012,64,3
Devin Brown,NBA,2,2010,75,8
Ernest Brown,NBA,1,2002,27,1
Fred Brown,NBA,2,1984,61,13
George Brown,NBA,3,1958,-34,1
Gerald Brown,NBA,2,1999,3,1
