Player,sport,position,start_year,start_age,years_played
Alex Galchenyuk\galchal01,Hockey,Center,2013,18,5
Alex Goligoski\goligal01,Hockey,Defense,2008,22,10
Alex Grant\grantal01,Hockey,Defense,2014,25,3
Alex Killorn\killoal01,Hockey,Center,2013,23,5
Alex Petrovic\petroal01,Hockey,Defense,2013,20,5
Alex Pietrangelo\pietral01,Hockey,Defense,2009,19,9
Alex Plante\plantal01,Hockey,Defense,2010,20,3
Alex Tuch\tuchal01,Hockey,Right Wing,2017,20,1
Alexander Burmistrov\burmial01,Hockey,Center,2011,19,7
Alexander Edler\edleral01,Hockey,Defense,2007,20,11
Alexander Khokhlachev\khokhal01,Hockey,Center,2014,20,3
Alexander Nikulin\nikulal01,Hockey,Center,2008,22,2
Alexander Nylander\nylanal01,Hockey,Right Wing,2017,18,1
Alexander Radulov\radulal01,Hockey,Right Wing,2007,20,11
Alexander Semin\seminal01,Hockey,Left Wing,2007,22,10
Alexander Sulzer\sulzeal01,Hockey,Defense,2009,24,6
Alexander Svitov\svitoal01,Hockey,Center,2007,24,1
Alexander Urbom\urbomal01,Hockey,Defense,2011,20,4
Alexander Vasyunov\vasyual01,Hockey,Left Wing,2011,22,1
Alexander Wennberg\wennbal01,Hockey,Center,2015,20,3
Alexandre Bolduc\boldual01,Hockey,Center,2009,23,7
Alexandre Carrier\carrial01,Hockey,Defense,2017,20,1
Alexandre Grenier\grenial01,Hockey,Right Wing,2016,24,2
Alexei Emelin\emelial01,Hockey,Defense,2012,25,6
Alexei Kaigorodov\kaigoal01,Hockey,Center,2007,23,1
Alexei Mikhnov\mikhnal01,Hockey,Left Wing,2007,24,1
Alexey Marchenko\marchal01,Hockey,Defense,2014,22,4
Anders Lee\leean01,Hockey,Center,2013,22,5
Andre Benoit\benoian01,Hockey,Defense,2011,27,6
Andre Burakovsky\burakan01,Hockey,Left Wing,2015,19,3
Andre Deveaux\deveaan01,Hockey,Center,2009,24,4
Andre Petersson\peteran02,Hockey,Right Wing,2012,21,1
Andreas Athanasiou\athanan01,Hockey,Center,2016,21,2
Andreas Englund\engluan01,Hockey,Defense,2017,21,1
Andreas Engqvist\engqvan01,Hockey,Center,2011,23,2
Andreas Martinsen\martian01,Hockey,Left Wing,2016,25,2
Andreas Nodl\nodlan01,Hockey,Right Wing,2009,21,5
Andreas Thuresson\thurean01,Hockey,Right Wing,2010,22,2
Andrei Loktionov\loktian01,Hockey,Center,2010,19,5
Andrei Zubarev\zubaran01,Hockey,Defense,2011,23,1
Andrej Nestrasil\nestran01,Hockey,Center,2015,23,3
Andrej Sekera\sekeran01,Hockey,Defense,2007,20,11
Andrej Sustr\sustran01,Hockey,Defense,2013,22,5
Andrew Agozzino\agozzan01,Hockey,Left Wing,2015,24,2
Andrew Bodnarchuk\bodnaan01,Hockey,Defense,2010,21,7
Eric Perrin\perrier01,Hockey,Center,2007,31,3
Andrew Campbell\campban01,Hockey,Defense,2014,25,3
Andrew Cogliano\coglian01,Hockey,Center,2008,20,10
Andrew Copp\coppan01,Hockey,Center,2015,20,3
Andrew Desjardins\desjaan01,Hockey,Center,2011,24,7
Andrew Ebbett\ebbetan01,Hockey,Center,2008,25,8
Andrew Gordon\gordoan01,Hockey,Right Wing,2009,23,5
Andrew Joudrey\joudran01,Hockey,Center,2012,27,1
Andrew MacDonald\macdoan01,Hockey,Defense,2009,22,9
Andrew MacWilliam\macwian01,Hockey,Defense,2015,24,1
Andrew Miller\millean01,Hockey,Center,2015,26,2
Andrew Murray\murraan01,Hockey,Center,2008,26,6
Andrew Poturalski\poturan01,Hockey,Center,2017,23,1
Andrew Shaw\shawan01,Hockey,Center,2012,20,6
Andrey Pedan\pedanan01,Hockey,Defense,2016,22,1
Andy Andreoff\andrean01,Hockey,Center,2015,23,3
Andy Greene\greenan01,Hockey,Defense,2007,24,11
Andy Miele\mielean01,Hockey,Center,2012,23,3
Anssi Salmela\salmean01,Hockey,Defense,2009,24,3
Anthony Beauvillier\beauvan01,Hockey,Left Wing,2017,19,1
Anthony Bitetto\bitetan01,Hockey,Defense,2015,24,3
Anthony DeAngelo\deangan01,Hockey,Defense,2017,21,1
Anthony Duclair\duclaan01,Hockey,Left Wing,2015,19,3
Anthony Mantha\manthan01,Hockey,Right Wing,2016,21,2
Anthony Peluso\pelusan01,Hockey,Right Wing,2013,23,4
Antoine Roussel\roussan01,Hockey,Center,2013,23,5
Anton Belov\belovan01,Hockey,Defense,2014,27,1
Anton Blidh\blidhan01,Hockey,Left Wing,2017,21,1
Anton Klementyev\klemean01,Hockey,Defense,2010,19,1
Anton Lander\landean01,Hockey,Center,2012,20,6
Anton Lindholm\lindhan01,Hockey,Defense,2017,22,1
Anton Rodin\rodinan01,Hockey,Right Wing,2017,26,1
Anton Slepyshev\slepyan01,Hockey,Left Wing,2016,21,2
Anton Stralman\stralan01,Hockey,Defense,2008,21,10
Jan Hlavac\hlavaja01,Hockey,Left Wing,2008,31,1
Antti Pihlstrom\pihlsan01,Hockey,Left Wing,2008,23,2
Anze Kopitar\kopitan01,Hockey,Center,2007,19,11
Artem Anisimov\anisiar01,Hockey,Center,2009,20,9
Artemi Panarin\panarar01,Hockey,Left Wing,2016,24,2
Artturi Lehkonen\lehkoar01,Hockey,Left Wing,2017,21,1
Arturs Kulda\kuldaar01,Hockey,Defense,2010,21,3
Austin Czarnik\czarnau01,Hockey,Center,2017,24,1
Austin Watson\watsoau01,Hockey,Left Wing,2013,21,5
Auston Matthews\matthau01,Hockey,Center,2017,19,1
B.J. Crombeen\crombbj01,Hockey,Right Wing,2008,22,8
Barclay Goodrow\goodrba01,Hockey,Right Wing,2015,21,3
Jaroslav Hlinka\hlinkja01,Hockey,Left Wing,2008,31,1
Beau Bennett\bennebe01,Hockey,Right Wing,2013,21,5
Ben Chiarot\chiarbe01,Hockey,Defense,2014,22,4
Ben Hanowski\hanowbe01,Hockey,Left Wing,2013,22,2
Ben Harpur\harpube01,Hockey,Defense,2016,21,2
Ben Holmstrom\holmsbe01,Hockey,Center,2011,23,2
Ben Hutton\huttobe01,Hockey,Defense,2016,22,2
Ben Lovejoy\lovejbe01,Hockey,Defense,2009,24,9
Ben Maxwell\maxwebe01,Hockey,Center,2009,20,4
Ben Smith\smithbe01,Hockey,Right Wing,2011,22,7
Ben Street\streebe01,Hockey,Center,2013,25,5
Ben Thomson\thomsbe01,Hockey,Left Wing,2017,24,1
Benn Ferriero\ferribe01,Hockey,Center,2010,22,5
Benoit Pouliot\poulibe01,Hockey,Left Wing,2007,20,11
Bill Arnold\arnolbi01,Hockey,Center,2014,21,1
Bill Sweatt\sweatbi01,Hockey,Left Wing,2012,23,2
Bjorn Melin\melinbj01,Hockey,Right Wing,2007,25,1
Blair Jones\jonesbl01,Hockey,Center,2007,20,9
Blake Coleman\colembl01,Hockey,Center,2017,25,1
Blake Comeau\comeabl01,Hockey,Left Wing,2007,20,11
Blake Geoffrion\geoffbl01,Hockey,Left Wing,2011,22,2
Blake Pietila\pietibl01,Hockey,Left Wing,2016,22,2
Blake Speers\speerbl01,Hockey,Center,2017,20,1
Blake Wheeler\wheelbl01,Hockey,Right Wing,2009,22,9
Bo Horvat\horvabo01,Hockey,Center,2015,19,3
Bobby Allen\allenbo01,Hockey,Defense,2007,28,2
Bobby Butler\butlebo01,Hockey,Left Wing,2010,22,5
Bobby Farnham\farnhbo01,Hockey,Right Wing,2015,26,3
Bobby Ryan\ryanbo01,Hockey,Right Wing,2008,20,10
Bobby Sanguinetti\sangubo01,Hockey,Defense,2010,21,4
Bogdan Yakimov\yakimbo01,Hockey,Center,2015,20,1
Boone Jenner\jennebo01,Hockey,Center,2014,20,4
Boris Valabik\valabbo01,Hockey,Defense,2008,21,3
Borna Rendulic\rendubo01,Hockey,Right Wing,2015,22,3
Bracken Kearns\kearnbr01,Hockey,Center,2012,30,6
Brad Ference\ferenbr01,Hockey,Defense,2007,27,1
Brad Hunt\huntbr01,Hockey,Defense,2014,25,4
Brad Malone\malonbr01,Hockey,Center,2012,22,5
Brad Marchand\marchbr03,Hockey,Center,2010,21,8
Jason Krog\krogja01,Hockey,Center,2007,31,3
Brad Mills\millsbr01,Hockey,Center,2011,27,4
Brad Moran\moranbr01,Hockey,Center,2007,27,1
Brad Staubitz\staubbr01,Hockey,Right Wing,2009,24,5
Brady Austin\austibr01,Hockey,Defense,2017,23,1
Brady Murray\murrabr01,Hockey,Left Wing,2008,23,1
Brady Skjei\skjeibr01,Hockey,Defense,2016,21,2
Brandon Bollig\bollibr01,Hockey,Left Wing,2012,25,5
Brandon Carlo\carlobr01,Hockey,Defense,2017,20,1
Brandon Davidson\davidbr01,Hockey,Defense,2015,23,3
Brandon DeFazio\defazbr01,Hockey,Left Wing,2015,26,1
Brandon Dubinsky\dubinbr01,Hockey,Center,2007,20,11
Brandon Gormley\gormlbr01,Hockey,Defense,2014,21,3
Brandon Kozun\kozunbr01,Hockey,Right Wing,2015,24,1
Brandon Manning\mannibr01,Hockey,Defense,2012,21,6
Brandon Mashinter\mashibr01,Hockey,Left Wing,2011,22,6
Brandon McMillan\mcmilbr01,Hockey,Center,2011,20,5
Brandon Montour\montobr01,Hockey,Defense,2017,22,1
Brandon Nolan\nolanbr01,Hockey,Center,2008,24,1
Brandon Pirri\pirribr01,Hockey,Center,2011,19,7
Brandon Prust\prustbr01,Hockey,Center,2007,22,10
Brandon Reid\reidbr01,Hockey,Center,2007,25,1
Brandon Saad\saadbr01,Hockey,Left Wing,2012,19,6
Brandon Segal\segalbr01,Hockey,Right Wing,2009,25,5
Brandon Sutter\suttebr03,Hockey,Center,2009,19,9
Brandon Tanev\tanevbr01,Hockey,Left Wing,2016,24,2
Brandon Yip\yipbr01,Hockey,Right Wing,2010,24,5
Brayden IRight Wingin\iRight Winginbr01,Hockey,Center,2010,22,1
Brayden McNabb\mcnabbr01,Hockey,Defense,2012,21,6
Brayden Point\pointbr01,Hockey,Center,2017,20,1
Brayden Schenn\schenbr01,Hockey,Center,2010,18,8
Brendan Gallagher\gallabr01,Hockey,Right Wing,2013,20,5
Brendan Gaunce\gauncbr01,Hockey,Center,2016,21,2
Brendan Guhle\guhlebr01,Hockey,Defense,2017,19,1
Brendan Leipsic\leipsbr01,Hockey,Left Wing,2016,21,1
Brendan Mikkelson\mikkebr01,Hockey,Defense,2009,21,5
Brendan Perlini\perlibr01,Hockey,Left Wing,2017,20,1
Brendan Ranford\ranfobr01,Hockey,Left Wing,2015,22,1
Brendan Shinnimin\shinnbr01,Hockey,Center,2015,24,1
Brendan Smith\smithbr05,Hockey,Defense,2012,22,6
Brendan Woods\woodsbr01,Hockey,Left Wing,2015,22,2
Brenden Dillon\dillobr01,Hockey,Defense,2012,21,6
Brendon Nash\nashbr01,Hockey,Defense,2011,23,1
Brent Regner\regnebr01,Hockey,Defense,2016,26,1
Brett Bellemore\bellebr01,Hockey,Defense,2013,24,3
Brett Bulmer\bulmebr01,Hockey,Right Wing,2012,19,5
Brett Carson\carsobr01,Hockey,Defense,2009,23,5
Brett Connolly\connobr01,Hockey,Right Wing,2012,19,6
Brett Festerling\festebr01,Hockey,Defense,2009,22,4
Brett Gallant\gallabr02,Hockey,Left Wing,2014,25,1
Brett Kulak\kulakbr01,Hockey,Defense,2015,21,3
Brett Lernout\lernobr01,Hockey,Defense,2016,20,2
Brett Maclean\maclebr02,Hockey,Left Wing,2011,22,2
Brett Pesce\pescebr01,Hockey,Defense,2016,21,2
Brett Ritchie\ritchbr01,Hockey,Right Wing,2015,21,3
Brett Skinner\skinnbr01,Hockey,Defense,2009,25,1
Brett Sterling\sterlbr01,Hockey,Left Wing,2008,23,5
Brett Sutter\suttebr04,Hockey,Center,2009,21,7
Brian Boyle\boylebr01,Hockey,Center,2008,23,10
Brian Dumoulin\dumoubr01,Hockey,Defense,2014,22,4
Brian Fahey\faheybr01,Hockey,Defense,2011,29,1
Brian Ferlin\ferlibr01,Hockey,Right Wing,2015,22,1
Brian Flynn\flynnbr01,Hockey,Center,2013,24,5
Brian Gibbons\gibbobr02,Hockey,Center,2014,25,2
Brian Lashoff\lashobr01,Hockey,Defense,2013,22,5
Brian Lee\leebr01,Hockey,Defense,2008,20,6
Brian O'Neill\oneilbr01,Hockey,Center,2016,27,1
Brian Salcido\salcibr01,Hockey,Defense,2009,23,1
Brian Strait\straibr01,Hockey,Defense,2011,23,7
Brock Boeser\boesebr01,Hockey,Right Wing,2017,19,1
Brock McGinn\mcginbr01,Hockey,Left Wing,2016,21,2
Brock Nelson\nelsobr01,Hockey,Center,2014,22,4
Brock Trotter\trottbr02,Hockey,Center,2010,22,1
Brodie Dupont\duponbr01,Hockey,Center,2011,23,1
Brody Sutter\suttebr05,Hockey,Center,2015,23,2
Bryan Bickell\bickebr01,Hockey,Left Wing,2007,20,11
Bryan Lerg\lergbr01,Hockey,Center,2015,29,2
Bryan Little\littlbr01,Hockey,Center,2008,20,10
Bryan Rodney\rodnebr01,Hockey,Defense,2009,24,4
Bryan Rust\rustbr01,Hockey,Right Wing,2015,22,3
Bryan Young\youngbr02,Hockey,Defense,2007,20,2
Bryce Van Brabant\vanbrbr01,Hockey,Left Wing,2014,22,1
Bud Holloway\hollobu01,Hockey,Center,2016,27,1
Buddy Robinson\robinbu01,Hockey,Right Wing,2016,24,2
Byron Bitz\bitzby01,Hockey,Right Wing,2009,24,4
Byron Froese\froesby01,Hockey,Center,2016,24,2
C.J. Smith\smithcj01,Hockey,Left Wing,2017,22,1
Cade Fairchild\faircca01,Hockey,Defense,2012,23,1
Cal Clutterbuck\cluttca01,Hockey,Right Wing,2008,20,10
Cal O'Reilly\oreilca01,Hockey,Center,2009,22,9
Calle Jarnkrok\jarnkca01,Hockey,Center,2014,22,4
Calvin de Haan\dehaaca01,Hockey,Defense,2012,20,6
Cam Atkinson\atkinca01,Hockey,Right Wing,2012,22,6
Cam Fowler\fowleca01,Hockey,Defense,2011,19,7
Cam Paddock\paddoca01,Hockey,Center,2009,25,1
Cameron Gaunce\gauncca01,Hockey,Defense,2011,20,7
Cameron Schilling\schilca01,Hockey,Defense,2013,24,3
Carl Corazzini\corazca01,Hockey,Center,2007,27,1
Carl Gunnarsson\gunnaca01,Hockey,Defense,2010,23,8
Carl Hagelin\hagelca01,Hockey,Left Wing,2012,23,6
Carl Klingberg\klingca01,Hockey,Left Wing,2011,20,5
Carl Sneep\sneepca01,Hockey,Defense,2012,24,1
Carl Soderberg\soderca01,Hockey,Center,2013,27,5
Carson McMillan\mcmilca01,Hockey,Right Wing,2011,22,4
Carter Ashton\ashtoca01,Hockey,Right Wing,2012,20,4
Carter Bancks\banckca01,Hockey,Left Wing,2013,23,1
Carter Camper\campeca01,Hockey,Center,2012,23,1
Carter Rowney\rowneca01,Hockey,Right Wing,2017,27,1
Casey Bailey\baileca01,Hockey,Center,2015,23,3
Casey Borer\borerca01,Hockey,Defense,2008,22,3
Casey Cizikas\cizikca01,Hockey,Center,2012,20,6
Casey Nelson\nelsoca01,Hockey,Defense,2016,23,2
Casey Wellman\wellmca01,Hockey,Center,2010,22,5
Cedric Paquette\paquece01,Hockey,Center,2014,20,4
Chad Billins\billich01,Hockey,Defense,2014,24,1
Chad Kolarik\kolarch01,Hockey,Right Wing,2010,24,2
Chad Rau\rauch01,Hockey,Center,2012,25,1
Chad Ruhwedel\ruhwech01,Hockey,Defense,2013,22,5
Chandler Stephenson\stephch02,Hockey,Center,2016,21,2
Charles Hudon\hudonch01,Hockey,Left Wing,2016,21,2
Charles Linglet\linglch01,Hockey,Left Wing,2010,27,1
Charlie Coyle\coylech01,Hockey,Center,2013,20,5
Chase De Leo\deleoch01,Hockey,Center,2016,20,1
Chay Genoway\genowch01,Hockey,Defense,2012,25,1
Chris Bigras\bigrach01,Hockey,Defense,2016,20,1
Chris Bourque\bourqch01,Hockey,Left Wing,2008,22,6
Chris Brown\brownch01,Hockey,Center,2013,21,4
Chris Butler\butlech01,Hockey,Defense,2009,22,9
Chris Conner\connech01,Hockey,Right Wing,2007,23,9
Chris Didomenico\didomch01,Hockey,Right Wing,2017,27,1
Chris Durno\durnoch01,Hockey,Left Wing,2009,28,2
Chris Kreider\kreidch01,Hockey,Center,2013,21,5
Chris Minard\minarch01,Hockey,Left Wing,2008,26,3
Chris Mueller\muellch01,Hockey,Center,2011,24,5
Chris Porter\portech01,Hockey,Center,2009,24,8
Marty Murray\murrama01,Hockey,Center,2007,31,1
Chris Stewart\stewach02,Hockey,Right Wing,2009,21,9
Chris Summers\summech01,Hockey,Defense,2011,22,6
Chris Tanev\tanevch01,Hockey,Defense,2011,21,7
Chris Terry\terrych01,Hockey,Left Wing,2013,23,5
Chris Tierney\tiernch01,Hockey,Center,2015,20,3
Chris VandeVelde\vandech01,Hockey,Center,2011,23,7
Chris Wagner\wagnech01,Hockey,Center,2015,23,3
Chris Wideman\widemch01,Hockey,Defense,2016,26,2
Christian Dvorak\dvorach01,Hockey,Left Wing,2017,20,1
Christian Fischer\fischch01,Hockey,Right Wing,2017,19,1
Christian Folin\folinch01,Hockey,Defense,2014,22,4
Christian Hanson\hansoch01,Hockey,Center,2009,22,3
Christian Thomas\thomach01,Hockey,Left Wing,2013,20,4
Christoph Bertschy\bertsch02,Hockey,Center,2016,21,2
Christopher Breen\breench01,Hockey,Defense,2014,24,1
Clarke MacArthur\macarcl01,Hockey,Left Wing,2007,21,11
Claude Giroux\giroucl01,Hockey,Center,2008,20,10
Clay Wilson\wilsocl01,Hockey,Defense,2008,24,5
Clayton Keller\kellecl01,Hockey,Left Wing,2017,18,1
Clayton Stoner\stonecl01,Hockey,Defense,2010,24,8
Cody Almond\almonco01,Hockey,Center,2010,20,3
Cody Bass\bassco01,Hockey,Center,2008,21,10
Cody Ceci\cecico01,Hockey,Defense,2014,20,4
Cody Eakin\eakinco01,Hockey,Center,2012,20,6
Cody Franson\fransco01,Hockey,Defense,2010,22,8
Cody Goloubef\golouco01,Hockey,Defense,2012,22,6
Cody Hodgson\hodgsco01,Hockey,Center,2011,20,6
Cody Kunyk\kunykco01,Hockey,Left Wing,2014,23,1
Cody McLeod\mcleoco01,Hockey,Left Wing,2008,23,10
Colby Cohen\cohenco01,Hockey,Defense,2011,21,1
Colby Robak\robakco01,Hockey,Defense,2012,21,4
Cole Schneider\schneco02,Hockey,Left Wing,2016,25,2
Colin Fraser\fraseco01,Hockey,Center,2007,22,9
Colin Greening\greenco01,Hockey,Center,2011,24,6
Colin McDonald\mcdonco01,Hockey,Center,2010,25,8
Colin Miller\milleco02,Hockey,Defense,2016,23,2
Colin Smith\smithco01,Hockey,Center,2015,21,1
Colin Stuart\stuarco01,Hockey,Left Wing,2008,25,5
Colin White\whiteco02,Hockey,Center,2017,20,1
Colin Wilson\wilsoco01,Hockey,Center,2010,20,8
Colten Teubert\teubeco01,Hockey,Defense,2012,21,1
Colton Gillies\gillico01,Hockey,Center,2009,19,5
Colton Parayko\parayco01,Hockey,Defense,2016,22,2
Colton Sceviour\scevico01,Hockey,Center,2011,21,7
Colton Sissons\sissoco01,Hockey,Center,2014,20,4
Connor Brickley\brickco01,Hockey,Center,2016,23,1
Connor Brown\brownco02,Hockey,Right Wing,2016,22,2
Connor Carrick\carrico01,Hockey,Defense,2014,19,4
Connor Jones\jonesco01,Hockey,Center,2017,26,1
Connor McDavid\mcdavco01,Hockey,Center,2016,19,2
Connor Murphy\murphco02,Hockey,Defense,2014,20,4
Conor Allen\allenco01,Hockey,Defense,2014,24,2
Conor Sheary\shearco01,Hockey,Left Wing,2016,23,2
Corban Knight\knighco01,Hockey,Center,2014,23,3
Corey Elkins\elkinco01,Hockey,Center,2010,24,1
Corey Locke\lockeco01,Hockey,Center,2008,23,4
Corey Potter\potteco01,Hockey,Defense,2009,25,8
Corey Tropp\troppco01,Hockey,Right Wing,2012,22,6
Cory Conacher\conacco01,Hockey,Center,2013,23,5
Cory Emmerton\emmerco01,Hockey,Center,2011,22,4
Cory Murphy\murphco01,Hockey,Defense,2008,29,3
Craig Cunningham\cunnicr01,Hockey,Right Wing,2014,23,3
Craig Smith\smithcr01,Hockey,Center,2012,22,6
Craig Weller\wellecr01,Hockey,Right Wing,2008,27,2
Cristoval Nieves\nievecr01,Hockey,Center,2017,23,1
Curtis Glencross\glenccu01,Hockey,Left Wing,2007,24,9
Curtis Hamilton\hamilcu01,Hockey,Left Wing,2015,23,1
Curtis Lazar\lazarcu01,Hockey,Center,2015,19,3
Curtis McKenzie\mckencu01,Hockey,Left Wing,2015,23,3
D.J. King\kingdj01,Hockey,Left Wing,2007,22,6
Dale Weise\weiseda01,Hockey,Right Wing,2011,22,7
Dalton Prout\proutda01,Hockey,Defense,2012,21,6
Damien Brunner\brunnda01,Hockey,Center,2013,26,3
Damon Severson\severda01,Hockey,Defense,2015,20,3
Dan Girardi\girarda01,Hockey,Defense,2007,22,11
Dan Renouf\renouda01,Hockey,Defense,2017,22,1
Dan Sexton\sextoda01,Hockey,Right Wing,2010,22,2
Dana Tyrell\tyrelda01,Hockey,Center,2011,21,5
Dane Byers\byersda01,Hockey,Left Wing,2008,21,5
Daniel Bang\bangda01,Hockey,Right Wing,2013,25,1
Daniel Carcillo\carcida01,Hockey,Left Wing,2007,22,9
Daniel Carr\carrda01,Hockey,Left Wing,2016,24,2
Daniel Catenacci\catenda01,Hockey,Center,2016,22,1
Daniel O'Regan\oregada01,Hockey,Center,2017,23,1
Daniel Sprong\spronda01,Hockey,Right Wing,2016,18,1
Daniel Winnik\winnida01,Hockey,Center,2008,22,10
Daniil Tarasov\tarasda01,Hockey,Right Wing,2015,23,1
Danny Biega\biegada01,Hockey,Defense,2015,23,1
Danny Bois\boisda01,Hockey,Right Wing,2007,23,1
Danny DeKeyser\dekeyda01,Hockey,Defense,2013,22,5
Danny Irmen\irmenda01,Hockey,Center,2010,25,1
Danton Heinen\heineda01,Hockey,Center,2017,21,1
Darcy Campbell\campbda02,Hockey,Defense,2007,22,1
Patrick Fischer\fischpa01,Hockey,Center,2007,31,1
Darnell Nurse\nurseda01,Hockey,Defense,2015,19,3
Darren Archibald\archida02,Hockey,Right Wing,2014,23,1
Darren Dietz\dietzda01,Hockey,Defense,2016,22,1
Darren Haydar\haydada01,Hockey,Right Wing,2007,27,4
Darren Helm\helmda01,Hockey,Center,2008,21,10
Darroll Powe\poweda01,Hockey,Center,2009,23,6
Darryl Bootland\bootlda01,Hockey,Right Wing,2007,25,2
Darryl Boyce\boyceda01,Hockey,Center,2008,23,5
Dave Bolland\bollada01,Hockey,Center,2007,20,10
Dave Moss\mossda01,Hockey,Left Wing,2007,25,9
David Backes\backeda01,Hockey,Center,2007,22,11
David Booth\boothda01,Hockey,Left Wing,2007,22,9
David Brine\brineda01,Hockey,Center,2008,23,1
David Broll\brollda01,Hockey,Left Wing,2014,21,1
David Clarkson\clarkda03,Hockey,Right Wing,2007,22,10
David Desharnais\deshada01,Hockey,Center,2010,23,8
David Dziurzynski\dziurda01,Hockey,Center,2013,23,4
David Jones\jonesda01,Hockey,Right Wing,2008,23,9
David Koci\kocida01,Hockey,Defense,2007,25,5
David Krejci\krejcda01,Hockey,Center,2007,20,11
David Laliberte\lalibda01,Hockey,Right Wing,2010,23,1
David McIntyre\mcintda01,Hockey,Center,2012,24,1
David Musil\musilda01,Hockey,Defense,2015,21,1
David Pastrnak\pastrda01,Hockey,Right Wing,2015,18,3
David Perron\perroda01,Hockey,Left Wing,2008,19,10
David Rundblad\rundbda01,Hockey,Defense,2012,21,5
David Savard\savarda01,Hockey,Defense,2012,21,6
David Schlemko\schleda01,Hockey,Defense,2009,21,9
David Sloane\sloanda01,Hockey,Right Wing,2009,23,1
David Ullstrom\ullstda01,Hockey,Left Wing,2012,22,2
David Van Der Gulik\vandeda01,Hockey,Left Wing,2009,25,7
David Warsofsky\warsoda01,Hockey,Defense,2014,23,4
David Wolf\wolfda01,Hockey,Left Wing,2015,25,1
Davis Drewiske\drewida01,Hockey,Defense,2009,24,5
Dean Arsene\arsende01,Hockey,Defense,2010,29,1
Dean Kukan\kukande01,Hockey,Defense,2016,22,1
Denis Arkhipov\arkhide01,Hockey,Center,2007,27,1
Denis Gurianov\guriade01,Hockey,Right Wing,2017,19,1
Denis Malgin\malgide01,Hockey,Center,2017,20,1
Denis Tolpeko\tolpede01,Hockey,Center,2008,23,1
Dennis Everberg\everbde01,Hockey,Right Wing,2015,23,2
Dennis Rasmussen\rasmude01,Hockey,Center,2016,25,2
Derek Dorsett\dorsede01,Hockey,Right Wing,2009,22,9
Derek Forbort\forbode01,Hockey,Defense,2016,23,2
Derek Grant\grantde01,Hockey,Center,2013,22,5
Derek Joslin\joslide01,Hockey,Defense,2009,21,5
Derek Meech\meechde01,Hockey,Defense,2007,22,7
Derek Peltier\peltide01,Hockey,Defense,2009,23,2
Derek Ryan\ryande01,Hockey,Center,2016,29,2
Derek Smith\smithde05,Hockey,Defense,2010,25,5
Derek Stepan\stepade01,Hockey,Center,2011,20,7
Derek Whitmore\whitmde01,Hockey,Left Wing,2012,27,1
Derick Brassard\brassde01,Hockey,Center,2008,20,10
Deron Quint\quintde01,Hockey,Defense,2007,30,1
Derrick Pouliot\poulide01,Hockey,Defense,2015,21,3
Derrick Walser\walsede01,Hockey,Defense,2007,28,1
Deryk Engelland\engelde01,Hockey,Defense,2010,27,8
Devante Smith-Pelly\smithde06,Hockey,Right Wing,2012,19,6
Devin Setoguchi\setogde01,Hockey,Right Wing,2008,21,10
Devin Shore\shorede01,Hockey,Center,2016,21,2
Dillon Simpson\simpsdi01,Hockey,Defense,2017,24,1
