,sport,position,start_year,start_age,years_played
56314,mlb,G_p,2015,27,1.0
56315,mlb,G_p,2017,31,1.0
56709,mlb,G_p,2015,28,4.0
56710,mlb,G_p,2015,28,4.0
56711,mlb,G_p,2015,28,4.0
56712,mlb,G_p,2015,28,4.0
56794,mlb,G_p,2016,25,1.0
56795,mlb,G_p,2016,25,1.0
56986,mlb,G_p,2015,22,1.0
57176,mlb,G_of,2014,23,4.0
57177,mlb,G_of,2014,23,4.0
57359,mlb,G_p,2017,27,0.0
57725,mlb,G_of,2015,29,1.0
58134,mlb,G_c,2014,27,4.0
58135,mlb,G_c,2014,27,4.0
58136,mlb,G_c,2014,27,4.0
58137,mlb,G_c,2014,27,4.0
59173,mlb,G_if,2015,23,4.0
59174,mlb,G_if,2015,23,4.0
59175,mlb,G_if,2015,23,4.0
59176,mlb,G_if,2015,23,4.0
59369,mlb,G_p,2017,26,1.0
59614,mlb,G_p,2016,25,1.0
59615,mlb,G_p,2016,25,1.0
59697,mlb,G_p,2016,23,1.0
59855,mlb,G_p,2018,34,1.0
60124,mlb,G_p,2018,34,1.0
60483,mlb,G_p,2015,27,1.0
60507,mlb,G_p,2014,26,3.0
60508,mlb,G_p,2014,26,3.0
60509,mlb,G_p,2014,26,3.0
60534,mlb,G_c,2017,28,1.0
60535,mlb,G_c,2017,28,1.0
60560,mlb,G_p,2014,26,4.0
60561,mlb,G_p,2014,26,4.0
60562,mlb,G_p,2014,26,4.0
60563,mlb,G_p,2015,25,1.0
60564,mlb,G_p,2015,25,1.0
60855,mlb,G_p,2017,22,1.0
60856,mlb,G_if,2015,24,4.0
60857,mlb,G_if,2015,24,4.0
60858,mlb,G_if,2015,24,4.0
60859,mlb,G_if,2015,24,4.0
60866,mlb,G_p,2016,29,1.0
60980,mlb,G_p,2015,26,3.0
60981,mlb,G_p,2015,26,3.0
60982,mlb,G_p,2015,26,3.0
60983,mlb,G_p,2015,26,3.0
61155,mlb,G_p,2017,26,1.0
61206,mlb,G_p,2014,24,4.0
61207,mlb,G_p,2014,24,4.0
61208,mlb,G_p,2014,24,4.0
61209,mlb,G_p,2014,24,4.0
61296,mlb,G_p,2015,31,2.0
61297,mlb,G_p,2015,31,2.0
62044,mlb,G_c,2016,26,2.0
62045,mlb,G_c,2016,26,2.0
62046,mlb,G_c,2016,26,2.0
62227,mlb,G_of,2017,25,1.0
62459,mlb,G_p,2015,26,4.0
62460,mlb,G_p,2015,26,4.0
62461,mlb,G_p,2015,26,4.0
63113,mlb,G_p,2014,26,1.0
63149,mlb,G_p,2018,26,0.0
63756,mlb,G_p,2015,26,1.0
63773,mlb,G_p,2017,26,1.0
63809,mlb,G_p,2017,25,1.0
63810,mlb,G_p,2017,25,1.0
63912,mlb,G_p,2017,28,2.0
63913,mlb,G_p,2017,28,2.0
63914,mlb,G_p,2017,28,2.0
64156,mlb,G_p,2015,25,1.0
64960,mlb,G_if,2017,26,1.0
65143,mlb,G_p,2014,24,2.0
65144,mlb,G_p,2014,24,2.0
65145,mlb,G_p,2014,24,2.0
65294,mlb,G_p,2014,24,0.0
65423,mlb,G_p,2016,24,2.0
65424,mlb,G_p,2016,24,2.0
65610,mlb,G_p,2015,25,3.0
65611,mlb,G_p,2015,25,3.0
65612,mlb,G_p,2015,25,3.0
65613,mlb,G_p,2015,25,3.0
65619,mlb,G_p,2018,25,1.0
66311,mlb,G_if,2016,27,0.0
66814,mlb,G_p,2016,27,2.0
66815,mlb,G_p,2016,27,2.0
66816,mlb,G_p,2016,27,2.0
66817,mlb,G_p,2016,27,2.0
66856,mlb,G_p,2014,23,5.0
66857,mlb,G_p,2014,23,5.0
66858,mlb,G_p,2014,23,5.0
66859,mlb,G_p,2014,23,5.0
66860,mlb,G_p,2014,23,5.0
67273,mlb,G_p,2016,32,1.0
67275,mlb,G_p,2017,25,1.0
67315,mlb,G_of,2017,29,1.0
67958,mlb,G_p,2018,26,0.0
68127,mlb,G_p,2015,28,2.0
68128,mlb,G_p,2015,28,2.0
68391,mlb,G_p,2016,30,1.0
68392,mlb,G_p,2015,23,4.0
68393,mlb,G_p,2015,23,4.0
68394,mlb,G_p,2015,23,4.0
68666,mlb,G_p,2015,24,2.0
68667,mlb,G_p,2015,24,2.0
68879,mlb,G_if,2016,27,3.0
68880,mlb,G_if,2016,27,3.0
68881,mlb,G_of,2016,27,3.0
68882,mlb,G_if,2016,27,3.0
68962,mlb,G_p,2017,22,2.0
68963,mlb,G_p,2017,22,2.0
68964,mlb,G_of,2014,23,3.0
68965,mlb,G_of,2014,23,3.0
68966,mlb,G_of,2014,23,3.0
69181,mlb,G_p,2016,28,1.0
69348,mlb,G_if,2015,26,1.0
69429,mlb,G_p,2015,30,0.0
69694,mlb,G_p,2015,25,2.0
69695,mlb,G_p,2015,25,2.0
70378,mlb,G_if,2015,26,1.0
70462,mlb,G_p,2016,28,2.0
70463,mlb,G_p,2016,28,2.0
70464,mlb,G_p,2016,28,2.0
70715,mlb,G_p,2015,25,1.0
70970,mlb,G_if,2017,27,2.0
70971,mlb,G_if,2017,27,2.0
71019,mlb,G_c,2016,28,2.0
71020,mlb,G_c,2016,28,2.0
71137,mlb,G_p,2015,24,3.0
71138,mlb,G_p,2015,24,3.0
71139,mlb,G_p,2015,24,3.0
71294,mlb,G_c,2014,25,1.0
71429,mlb,G_p,2018,22,1.0
71521,mlb,G_of,2015,26,1.0
72059,mlb,G_p,2018,25,1.0
72548,mlb,G_p,2015,26,2.0
72549,mlb,G_p,2015,26,2.0
72586,mlb,G_p,2017,27,1.0
72587,mlb,G_p,2017,27,1.0
72627,mlb,G_c,2017,27,1.0
72892,mlb,G_if,2015,30,1.0
72893,mlb,G_of,2015,30,1.0
73062,mlb,G_of,2014,27,3.0
73063,mlb,G_of,2014,27,3.0
73064,mlb,G_if,2014,27,3.0
73287,mlb,G_of,2015,30,4.0
73288,mlb,G_of,2015,30,4.0
73289,mlb,G_of,2015,30,4.0
73290,mlb,G_of,2015,30,4.0
73509,mlb,G_of,2017,27,1.0
73952,mlb,G_p,2016,25,2.0
73953,mlb,G_p,2016,25,2.0
73954,mlb,G_p,2016,25,2.0
74023,mlb,G_p,2015,23,2.0
