player,position,c,d,lw,rw,start_year,start_age,years_played,retire_year,retire_age
Ryan Carpenter\carpery01,C,1,0,0,0,2016,25,2,2017,26
Ryan Carter\cartery01,C,1,0,0,0,2008,24,9,2016,32
Ryan Craig\craigry01,C,1,0,0,0,2006,24,10,2015,33
Ryan Dzingel\dzingry01,LW,0,0,1,0,2016,23,2,2017,24
Ryan Ellis\ellisry01,D,0,1,0,0,2012,21,6,2017,26
Ryan Flinn\flinnry01,LW,0,0,1,0,2006,25,1,2006,25
Ryan Garbutt\garbury01,C,1,0,0,0,2012,26,6,2017,31
Ryan Getzlaf\getzlry01,C,1,0,0,0,2006,20,12,2017,31
Ryan Hamilton\hamilry01,LW,0,0,1,0,2012,26,4,2015,29
Ryan Hartman\hartmry01,LW,0,0,1,0,2015,20,3,2017,22
Ryan Hollweg\hollwry01,C,1,0,0,0,2006,22,6,2011,27
Ryan Johansen\johanry01,C,1,0,0,0,2012,19,6,2017,24
Ryan Johnson\johnsry01,C,1,0,0,0,2006,29,6,2011,34
Ryan Johnston\johnsry02,D,0,1,0,0,2016,23,2,2017,24
Ryan Jones\jonesry01,LW,0,0,1,0,2009,24,6,2014,29
Ryan Keller\kellery01,RW,0,0,0,1,2010,26,1,2010,26
Ryan Kesler\keslery01,C,1,0,0,0,2006,21,12,2017,32
Ryan Malone\malonry01,LW,0,0,1,0,2006,26,10,2015,35
Ryan McDonagh\mcdonry01,D,0,1,0,0,2011,21,7,2017,27
Ryan Murphy\murphry01,D,0,1,0,0,2013,19,5,2017,23
Ryan Murray\murrary01,D,0,1,0,0,2014,20,4,2017,23
Ryan Nugent-Hopkins\nugenry01,C,1,0,0,0,2012,18,6,2017,23
Ryan O'Byrne\obyrnry01,D,0,1,0,0,2008,23,6,2013,28
Ryan O'Marra\omarrry01,C,1,0,0,0,2010,22,3,2012,24
Ryan O'Reilly\oreilry01,C,1,0,0,0,2010,18,8,2017,25
Ryan Parent\parenry01,D,0,1,0,0,2007,19,5,2011,23
Ryan Potulny\potulry01,C,1,0,0,0,2006,21,6,2011,26
Ryan Pulock\pulocry01,D,0,1,0,0,2016,21,2,2017,22
Ryan Ready\readyry01,LW,0,0,1,0,2006,27,1,2006,27
Ryan Reaves\reavery01,RW,0,0,0,1,2011,24,7,2017,30
Ryan Russell\russery01,C,1,0,0,0,2012,24,1,2012,24
Ryan Shannon\shannry01,RW,0,0,0,1,2007,23,6,2012,28
Ryan Smyth\smythry01,LW,0,0,1,0,2006,29,9,2014,37
Ryan Spooner\spoonry01,C,1,0,0,0,2013,21,5,2017,25
Ryan Sproul\sproury01,D,0,1,0,0,2014,21,4,2017,24
Ryan Stanton\stantry01,D,0,1,0,0,2013,23,4,2016,26
Ryan Stoa\stoary01,C,1,0,0,0,2010,22,5,2014,26
Ryan Stone\stonery01,C,1,0,0,0,2008,22,3,2010,24
Ryan Strome\stromry01,C,1,0,0,0,2014,20,4,2017,23
Ryan Suter\suterry01,D,0,1,0,0,2006,21,12,2017,32
Ryan Thang\thangry01,LW,0,0,1,0,2012,24,1,2012,24
Ryan VandenBussche\vandery01,RW,0,0,0,1,2006,32,1,2006,32
Ryan Vesce\vescery01,RW,0,0,0,1,2009,26,2,2010,27
Ryan White\whitery01,C,1,0,0,0,2010,21,8,2017,28
Ryan Whitney\whitnry01,D,0,1,0,0,2006,22,9,2014,30
Ryan Wilson\wilsory01,D,0,1,0,0,2010,22,6,2015,27
Ryane Clowe\clowery01,LW,0,0,1,0,2006,23,10,2015,32
Saku Koivu\koivusa01,C,1,0,0,0,2006,31,9,2014,39
Sam Bennett\bennesa01,C,1,0,0,0,2015,18,3,2017,20
Sam Carrick\carrisa01,C,1,0,0,0,2015,22,2,2016,23
Sam Gagner\gagnesa01,C,1,0,0,0,2008,18,10,2017,27
Sam Reinhart\reinhsa01,C,1,0,0,0,2015,19,3,2017,21
Sami Kapanen\kapansa01,RW,0,0,0,1,2006,32,3,2009,34
Sami Lepisto\lepissa01,D,0,1,0,0,2008,23,5,2012,27
Sami Salo\salosa01,D,0,1,0,0,2006,31,9,2014,39
Sami Vatanen\vatansa01,D,0,1,0,0,2013,21,5,2017,25
Samuel Henley\henlesa01,C,1,0,0,0,2017,23,1,2017,23
Samuel Morin\morinsa01,D,0,1,0,0,2017,21,1,2017,21
Samuel Pahlsson\pahlssa01,C,1,0,0,0,2006,28,7,2012,34
Sandis Ozolinsh\ozolisa01,D,0,1,0,0,2006,33,3,2009,35
Scott Barney\barnesc01,C,1,0,0,0,2006,26,1,2006,26
Scott Ferguson\fergusc01,D,0,1,0,0,2006,33,1,2006,33
Scott Glennie\glennsc01,RW,0,0,0,1,2012,20,1,2012,20
Scott Gomez\gomezsc01,C,1,0,0,0,2006,26,11,2016,36
Scott Hannan\hannasc01,D,0,1,0,0,2006,27,10,2015,36
Scott Harrington\harrisc01,D,0,1,0,0,2015,21,3,2017,23
Scott Hartnell\hartnsc01,LW,0,0,1,0,2006,23,12,2017,34
Scott Jackson\jackssc01,D,0,1,0,0,2010,22,1,2010,22
Scott Kosmachuk\kosmasc01,RW,0,0,0,1,2016,22,1,2016,22
Scott Laughton\laughsc01,C,1,0,0,0,2013,18,5,2017,22
Scott Lehman\lehmasc01,D,0,1,0,0,2009,23,1,2009,23
Scott Mayfield\mayfisc01,D,0,1,0,0,2014,21,4,2017,24
Scott Mellanby\mellasc01,RW,0,0,0,1,2006,39,2,2009,40
Scott Nichol\nichosc01,C,1,0,0,0,2006,31,8,2013,38
Scott Niedermayer*\niedesc01,D,0,1,0,0,2006,32,5,2010,36
Scott Parker\parkesc01,LW,0,0,1,0,2006,28,3,2009,30
Scott Parse\parsesc01,C,1,0,0,0,2010,25,3,2012,27
Scott Thornton\thornsc01,LW,0,0,1,0,2006,35,3,2009,37
Scott Timmins\timmisc01,C,1,0,0,0,2011,21,3,2013,23
Scott Walker\walkesc01,RW,0,0,0,1,2006,32,5,2010,36
Scott Wilson\wilsosc01,C,1,0,0,0,2015,22,3,2017,24
Scott Young\youngsc01,RW,0,0,0,1,2006,38,1,2006,38
Scottie Upshall\upshasc01,LW,0,0,1,0,2006,22,12,2017,33
Sean Avery\averyse01,C,1,0,0,0,2006,25,7,2012,31
Sean Bentivoglio\bentise01,LW,0,0,1,0,2009,23,1,2009,23
Sean Bergenheim\bergese01,LW,0,0,1,0,2006,21,10,2015,30
Sean Brown\brownse01,D,0,1,0,0,2006,29,1,2006,29
Sean Collins\collise01,D,0,1,0,0,2009,25,4,2012,28
Sean Collins\collise02,C,1,0,0,0,2013,24,4,2016,27
Sean Couturier\coutuse01,C,1,0,0,0,2012,19,6,2017,24
Sean Hill\hillse01,D,0,1,0,0,2006,35,3,2009,37
Sean Kuraly\kuralse01,C,1,0,0,0,2017,24,1,2017,24
Sean Malone\malonse01,C,1,0,0,0,2017,21,1,2017,21
Sean Monahan\monahse01,C,1,0,0,0,2014,19,4,2017,22
Sean O'Donnell\odonnse01,D,0,1,0,0,2006,34,7,2012,40
Sebastian Aho\ahose01,RW,0,0,0,1,2017,19,1,2017,19
Sebastien Bisaillon\bisaise01,D,0,1,0,0,2007,20,1,2009,20
Serge Aubin\aubinse01,C,1,0,0,0,2006,30,1,2006,30
Serge Payer\payerse01,C,1,0,0,0,2006,26,2,2009,27
Sergei Brylin\brylise01,C,1,0,0,0,2006,32,3,2009,34
Sergei Fedorov*\fedorse01,C,1,0,0,0,2006,36,4,2009,39
Sergei Gonchar\gonchse01,D,0,1,0,0,2006,31,10,2015,40
Sergei Kostitsyn\kostise01,LW,0,0,1,0,2008,20,6,2013,25
Sergei Plotnikov\plotnse01,LW,0,0,1,0,2016,25,1,2016,25
Sergei Samsonov\samsose01,LW,0,0,1,0,2006,27,6,2011,32
Sergei Shirokov\shirose01,LW,0,0,1,0,2010,23,2,2011,24
Sergei Zubov\zubovse01,D,0,1,0,0,2006,35,4,2009,38
Sergey Kalinin\kalinse01,C,1,0,0,0,2016,24,2,2017,25
Sergey Tolchinsky\tolchse01,LW,0,0,1,0,2016,20,2,2017,21
Seth Griffith\griffse01,C,1,0,0,0,2015,22,3,2017,24
Seth Helgeson\helgese01,D,0,1,0,0,2015,24,3,2017,26
Seth Jones\jonesse01,D,0,1,0,0,2014,19,4,2017,22
Shane Doan\doansh01,RW,0,0,0,1,2006,29,12,2017,40
Shane Endicott\endicsh01,C,1,0,0,0,2006,24,1,2006,24
Shane Harper\harpesh01,RW,0,0,0,1,2017,27,1,2017,27
Shane Hnidy\hnidysh01,D,0,1,0,0,2006,30,6,2011,35
Shane O'Brien\obriesh01,D,0,1,0,0,2007,23,9,2015,31
Shane Prince\princsh01,LW,0,0,1,0,2015,22,3,2017,24
Shane Sims\simssh01,D,0,1,0,0,2011,22,1,2011,22
Shaone Morrisonn\morrish01,D,0,1,0,0,2006,23,6,2011,28
Shaun Heshka\heshksh01,D,0,1,0,0,2010,24,1,2010,24
Shawn Bates\batessh01,C,1,0,0,0,2006,30,3,2009,32
Shawn Belle\bellesh01,D,0,1,0,0,2007,22,5,2011,26
Shawn Horcoff\horcosh01,C,1,0,0,0,2006,27,11,2016,37
Shawn Lalonde\lalonsh01,D,0,1,0,0,2013,22,1,2013,22
Shawn Matthias\matthsh01,C,1,0,0,0,2008,19,10,2017,28
Shawn McEachern\mceacsh01,LW,0,0,1,0,2006,36,1,2006,36
Shawn Thornton\thornsh01,D,0,1,0,0,2006,28,12,2017,39
Shay Stephenson\stephsh01,LW,0,0,1,0,2007,23,1,2009,23
Shayne Gostisbehere\gostish01,D,0,1,0,0,2015,21,3,2017,23
Shea Theodore\theodsh01,D,0,1,0,0,2016,20,2,2017,21
Shea Weber\webersh01,D,0,1,0,0,2006,20,12,2017,31
Shean Donovan\donovsh01,RW,0,0,0,1,2006,31,5,2010,35
Sheldon Brookbank\brooksh01,D,0,1,0,0,2007,26,8,2014,33
Sheldon Souray\sourash01,D,0,1,0,0,2006,29,8,2013,36
Sidney Crosby\crosbsi01,C,1,0,0,0,2006,18,12,2017,29
Simon Despres\desprsi01,D,0,1,0,0,2012,20,6,2017,25
Simon Gagne\gagnesi01,LW,0,0,1,0,2006,25,10,2015,34
Simon Gamache\gamacsi01,LW,0,0,1,0,2006,25,3,2008,27
Simon Moser\mosersi01,LW,0,0,1,0,2014,24,1,2014,24
Slater Koekkoek\koekksl01,D,0,1,0,0,2015,20,3,2017,22
Slava Voynov\voynovi01,D,0,1,0,0,2012,22,4,2015,25
Sonny Milano\milanso01,LW,0,0,1,0,2016,19,2,2017,20
Spencer Abbott\abbotsp01,LW,0,0,1,0,2014,25,4,2017,28
Spencer Machacek\machasp01,RW,0,0,0,1,2009,20,4,2012,23
Staffan Kronwall\kronwst01,D,0,1,0,0,2006,23,5,2010,27
Stanislav Chistov\chistst01,RW,0,0,0,1,2007,23,1,2009,23
Stanislav Galiev\galiest01,RW,0,0,0,1,2015,23,2,2016,24
Stefan Della Rovere\dellast01,LW,0,0,1,0,2011,20,1,2011,20
Stefan Elliott\elliost01,D,0,1,0,0,2012,21,5,2016,25
Stefan Matteau\mattest02,C,1,0,0,0,2013,18,4,2016,21
Stefan Meyer\meyerst01,LW,0,0,1,0,2008,22,4,2011,25
Stefan Noesen\noesest01,RW,0,0,0,1,2015,21,3,2017,23
Stefan Ruzicka\ruzicst01,RW,0,0,0,1,2006,20,3,2009,22
Stephane Da Costa\dacosst01,C,1,0,0,0,2011,21,4,2014,24
Stephane Robidas\robidst01,D,0,1,0,0,2006,28,10,2015,37
Stephane Veilleux\veillst01,C,1,0,0,0,2006,24,10,2015,33
Stephane Yelle\yellest01,C,1,0,0,0,2006,31,5,2010,35
Stephen Gionta\giontst01,C,1,0,0,0,2011,27,7,2017,33
Stephen Johns\johnsst03,D,0,1,0,0,2016,23,2,2017,24
Stephen Peat\peatst01,RW,0,0,0,1,2006,25,1,2006,25
Stephen Weiss\weissst01,C,1,0,0,0,2006,22,10,2015,31
Steve Begin\beginst01,C,1,0,0,0,2006,27,8,2013,34
Steve Bernier\bernist01,RW,0,0,0,1,2006,20,11,2016,30
Steve Downie\downist01,RW,0,0,0,1,2008,20,9,2016,28
Steve Eminger\emingst01,D,0,1,0,0,2006,22,8,2013,29
Steve Gainey\gainest01,LW,0,0,1,0,2006,27,1,2006,27
Steve Kelly\kellyst01,C,1,0,0,0,2008,31,1,2008,31
Steve Konowalchuk\konowst01,LW,0,0,1,0,2006,33,1,2006,33
Steve MacIntyre\macinst01,LW,0,0,1,0,2009,28,5,2013,32
Steve Martins\martist02,C,1,0,0,0,2006,33,1,2006,33
Steve McCarthy\mccarst01,D,0,1,0,0,2006,24,3,2009,26
Steve Montador\montast01,D,0,1,0,0,2006,26,7,2012,32
Steve Ott\ottst01,C,1,0,0,0,2006,23,12,2017,34
Steve Pinizzotto\pinizst01,C,1,0,0,0,2013,28,3,2015,30
Steve Poapst\poapsst01,D,0,1,0,0,2006,37,1,2006,37
Steve Regier\regiest01,LW,0,0,1,0,2006,21,4,2009,24
Steve Reinprecht\reinpst01,C,1,0,0,0,2006,29,6,2011,34
Steve Rucchin\rucchst01,C,1,0,0,0,2006,34,2,2009,35
Steve Staios\staiost01,D,0,1,0,0,2006,32,7,2012,38
Steve Sullivan\sullist01,C,1,0,0,0,2006,31,8,2013,38
Steve Wagner\wagnest01,D,0,1,0,0,2008,23,2,2009,24
Steve Yzerman*\yzermst01,C,1,0,0,0,2006,40,1,2006,40
Steven Goertzen\goertst01,RW,0,0,0,1,2006,21,5,2010,25
Steven Kampfer\kampfst01,D,0,1,0,0,2011,22,7,2017,28
Steven Oleksy\oleksst01,D,0,1,0,0,2013,26,5,2017,30
Steven Santini\santist01,D,0,1,0,0,2016,20,2,2017,21
Steven Stamkos\stamkst01,C,1,0,0,0,2009,18,9,2017,26
Steven Zalewski\zalewst01,C,1,0,0,0,2010,23,3,2012,25
Stu Barnes\barnest01,C,1,0,0,0,2006,35,3,2009,37
Stu Bickel\bickest01,D,0,1,0,0,2012,25,4,2015,28
Stuart Percy\percyst01,D,0,1,0,0,2015,21,2,2016,22
Sven Andrighetto\andrisv01,RW,0,0,0,1,2015,21,3,2017,23
Sven Baertschi\baertsv01,LW,0,0,1,0,2012,19,6,2017,24
Sven Butenschön\butensv01,D,0,1,0,0,2006,29,1,2006,29
T.J. Brennan\brenntj01,D,0,1,0,0,2012,22,5,2016,26
T.J. Brodie\broditj01,D,0,1,0,0,2011,20,7,2017,26
T.J. Galiardi\galiatj01,LW,0,0,1,0,2009,20,7,2015,26
T.J. Hensick\hensitj01,C,1,0,0,0,2008,22,4,2011,25
T.J. Oshie\oshietj01,C,1,0,0,0,2009,22,9,2017,30
T.J. Tynan\tynant.01,RW,0,0,0,1,2017,24,1,2017,24
Tanner Glass\glassta01,LW,0,0,1,0,2008,24,10,2017,33
Tanner Kero\kerota01,RW,0,0,0,1,2016,23,2,2017,24
Tanner Pearson\pearsta01,LW,0,0,1,0,2014,21,4,2017,24
Tanner Richard\richata01,C,1,0,0,0,2017,23,1,2017,23
Taylor Beck\beckta01,LW,0,0,1,0,2013,21,5,2017,25
Taylor Chorney\chornta01,D,0,1,0,0,2009,21,9,2017,29
Taylor Fedun\fedunta01,D,0,1,0,0,2014,25,4,2017,28
Taylor Hall\hallta02,LW,0,0,1,0,2011,19,7,2017,25
Taylor Leier\leierta01,LW,0,0,1,0,2016,21,2,2017,22
Taylor Pyatt\pyattta01,LW,0,0,1,0,2006,24,9,2014,32
Teddy Purcell\purcete01,LW,0,0,1,0,2008,22,10,2017,31
Teemu Hartikainen\hartite01,LW,0,0,1,0,2011,20,3,2013,22
Teemu Laakso\laakste01,D,0,1,0,0,2010,22,3,2012,24
Teemu Pulkkinen\pulkkte01,LW,0,0,1,0,2014,22,4,2017,25
Teemu Selanne*\selante01,RW,0,0,0,1,2006,35,9,2014,43
Teppo Numminen\nummite01,D,0,1,0,0,2006,37,4,2009,40
Teuvo Teravainen\teravte01,C,1,0,0,0,2014,19,4,2017,22
Theo Peckham\peckhth01,D,0,1,0,0,2008,20,6,2013,25
Thomas Chabot\chaboth01,D,0,1,0,0,2017,20,1,2017,20
Thomas Hickey\hicketh01,D,0,1,0,0,2013,23,5,2017,27
Thomas Pock\pockth01,D,0,1,0,0,2006,24,4,2009,27
Thomas Vanek\vanekth01,LW,0,0,1,0,2006,22,12,2017,33
Tie Domi\domiti01,RW,0,0,0,1,2006,36,1,2006,36
Tim Brent\brentti01,C,1,0,0,0,2007,22,7,2013,28
Tim Conboy\conboti01,D,0,1,0,0,2008,25,3,2010,27
Tim Connolly\connoti01,C,1,0,0,0,2006,24,7,2012,30
Tim Erixon\erixoti01,D,0,1,0,0,2012,20,4,2015,23
Tim Gleason\gleasti01,D,0,1,0,0,2006,23,10,2015,32
Tim Heed\heedti01,D,0,1,0,0,2017,26,1,2017,26
Tim Jackman\jackmti01,RW,0,0,0,1,2006,24,11,2016,34
Tim Kennedy\kenneti01,LW,0,0,1,0,2009,22,6,2014,27
Tim Ramholt\ramhoti01,D,0,1,0,0,2008,23,1,2008,23
Tim Schaller\schalti01,C,1,0,0,0,2015,24,3,2017,26
Tim Sestito\sestiti01,LW,0,0,1,0,2009,24,7,2015,30
Tim Stapleton\staplti01,C,1,0,0,0,2009,26,4,2012,29
Tim Taylor\tayloti01,C,1,0,0,0,2006,36,2,2009,37
Tim Wallace\wallati01,RW,0,0,0,1,2009,24,5,2013,28
Timo Helbling\helblti01,D,0,1,0,0,2006,24,2,2009,25
Timo Meier\meierti01,RW,0,0,0,1,2017,20,1,2017,20
Timofei Shishkanov\shishti01,RW,0,0,0,1,2006,22,1,2006,22
Tobias Lindberg\lindbto01,RW,0,0,0,1,2016,20,1,2016,20
Tobias Rieder\riedeto01,RW,0,0,0,1,2015,22,3,2017,24
Toby Enstrom\enstrto01,D,0,1,0,0,2008,23,10,2017,32
Toby Petersen\peterto01,C,1,0,0,0,2007,28,7,2013,34
Todd Bertuzzi\bertuto01,LW,0,0,1,0,2006,30,9,2014,38
Todd Fedoruk\fedorto01,LW,0,0,1,0,2006,26,5,2010,30
Todd Harvey\harveto01,RW,0,0,0,1,2006,30,1,2006,30
Todd Marchant\marchto01,C,1,0,0,0,2006,32,6,2011,37
Todd Simpson\simpsto01,D,0,1,0,0,2006,32,1,2006,32
Todd White\whiteto02,C,1,0,0,0,2006,30,6,2011,35
Tom Cavanagh\cavanto01,C,1,0,0,0,2008,25,2,2009,26
Tom Fitzgerald\fitzgto01,RW,0,0,0,1,2006,37,1,2006,37
Tom Gilbert\gilbeto01,D,0,1,0,0,2007,24,11,2017,34
Tom Kostopoulos\kostoto01,RW,0,0,0,1,2006,27,8,2013,34
Tom Kuhnhackl\kuhnhto01,RW,0,0,0,1,2016,24,2,2017,25
Tom Poti\potito01,D,0,1,0,0,2006,28,8,2013,35
Tom Preissing\preisto01,D,0,1,0,0,2006,27,5,2010,31
Tom Pyatt\pyattto01,C,1,0,0,0,2010,22,8,2017,29
Tom Sestito\sestito01,LW,0,0,1,0,2008,20,10,2017,29
Tom Wandell\wandeto01,C,1,0,0,0,2009,22,5,2013,26
Tom Wilson\wilsoto01,RW,0,0,0,1,2014,19,4,2017,22
Tomas Fleischmann\fleisto01,C,1,0,0,0,2006,21,11,2016,31
Tomas Hertl\hertlto01,C,1,0,0,0,2014,20,4,2017,23
Tomas Holmstrom\holmsto01,LW,0,0,1,0,2006,33,7,2012,39
Tomas Kaberle\kaberto01,D,0,1,0,0,2006,27,8,2013,34
Tomas Kana\kanato01,C,1,0,0,0,2010,22,1,2010,22
Tomas Kloucek\kloucto01,D,0,1,0,0,2006,25,1,2006,25
Tomas Kopecky\kopecto01,C,1,0,0,0,2006,23,10,2015,32
Tomas Kubalik\kubalto01,RW,0,0,0,1,2011,20,2,2012,21
Tomas Kundratek\kundrto01,D,0,1,0,0,2012,22,2,2013,23
Tomas Malec\malecto01,D,0,1,0,0,2006,23,2,2009,24
Tomas Mojzis\mojzito01,D,0,1,0,0,2006,23,4,2009,26
Tomas Nosek\nosekto01,C,1,0,0,0,2016,23,2,2017,24
Tomas Plekanec\plekato01,C,1,0,0,0,2006,23,12,2017,34
Tomas Plihal\plihato01,C,1,0,0,0,2007,23,3,2009,25
Tomas Surovy\surovto01,LW,0,0,1,0,2006,24,1,2006,24
Tomas Tatar\tatarto01,C,1,0,0,0,2011,20,7,2017,26
Tomas Vincour\vincoto01,C,1,0,0,0,2011,20,5,2015,24
Tomi Maki\makito01,RW,0,0,0,1,2007,23,1,2009,23
Tomi Pettinen\pettito01,D,0,1,0,0,2006,28,1,2006,28
Tommi Santala\santato01,C,1,0,0,0,2007,27,1,2009,27
Tommy Albelin\albelto01,D,0,1,0,0,2006,41,1,2006,41
Tommy Cross\crossto01,D,0,1,0,0,2016,26,1,2016,26
Tommy Wingels\wingeto01,C,1,0,0,0,2011,22,7,2017,28
Toni Lydman\lydmato01,D,0,1,0,0,2006,28,8,2013,35
Tony Amonte\amontto01,RW,0,0,0,1,2006,35,2,2009,36
Tony Salmelainen\salmeto01,LW,0,0,1,0,2007,25,1,2009,25
Torey Krug\krugto01,D,0,1,0,0,2012,20,6,2017,25
Torrey Mitchell\mitchto01,C,1,0,0,0,2008,23,10,2017,32
Travis Green\greentr01,C,1,0,0,0,2006,35,2,2009,36
Travis Hamonic\hamontr01,D,0,1,0,0,2011,20,7,2017,26
Travis Konecny\konectr01,C,1,0,0,0,2017,19,1,2017,19
Travis Moen\moentr01,LW,0,0,1,0,2006,23,11,2016,33
Travis Morin\morintr01,C,1,0,0,0,2011,27,5,2015,31
Travis Roche\rochetr01,D,0,1,0,0,2007,28,1,2009,28
Travis Turnbull\turnbtr01,C,1,0,0,0,2012,25,1,2012,25
Travis Zajac\zajactr01,C,1,0,0,0,2007,21,11,2017,31
Trent Hunter\huntetr01,RW,0,0,0,1,2006,25,7,2012,31
Trent Whitfield\whitftr01,C,1,0,0,0,2006,28,7,2012,34
Trevor Carrick\carritr01,D,0,1,0,0,2016,21,1,2016,21
Trevor Daley\daleytr01,D,0,1,0,0,2006,22,12,2017,33
Trevor Frischmon\frisctr01,C,1,0,0,0,2010,28,1,2010,28
Trevor Gillies\gillitr01,LW,0,0,1,0,2006,27,7,2012,33
Trevor Letowski\letowtr01,RW,0,0,0,1,2006,28,3,2009,30
Trevor Lewis\lewistr01,C,1,0,0,0,2009,22,9,2017,30
Trevor Linden\lindetr01,C,1,0,0,0,2006,35,3,2009,37
Trevor Smith\smithtr01,C,1,0,0,0,2009,23,9,2017,31
Trevor van Riemsdyk\vanritr01,D,0,1,0,0,2015,23,3,2017,25
Triston Grant\granttr01,LW,0,0,1,0,2007,22,4,2010,25
Troy Bodie\bodietr01,RW,0,0,0,1,2009,24,7,2015,30
Troy Brouwer\brouwtr01,RW,0,0,0,1,2007,21,11,2017,31
Troy Stecher\stechtr01,D,0,1,0,0,2017,22,1,2017,22
Tuomas Pihlman\pihlmtu01,LW,0,0,1,0,2006,23,2,2009,24
Tuomo Ruutu\ruututu01,C,1,0,0,0,2006,22,11,2016,32
Turner Elson\elsontu01,LW,0,0,1,0,2016,23,1,2016,23
Turner Stevenson\stevetu01,RW,0,0,0,1,2006,33,1,2006,33
Ty Rattie\rattity01,RW,0,0,0,1,2014,20,4,2017,23
Ty Wishart\wishaty01,D,0,1,0,0,2009,20,4,2012,23
Tye McGinn\mcginty01,LW,0,0,1,0,2013,22,4,2016,25
Tyler Arnason\arnasty01,C,1,0,0,0,2006,26,4,2009,29
Tyler Bertuzzi\bertuty01,LW,0,0,1,0,2017,21,1,2017,21
Tyler Bouck\bouckty01,LW,0,0,1,0,2006,26,2,2009,27
Tyler Bozak\bozakty01,C,1,0,0,0,2010,23,8,2017,30
Tyler Cuma\cumaty01,D,0,1,0,0,2012,22,1,2012,22
Tyler Eckford\eckfoty01,D,0,1,0,0,2010,24,2,2011,25
Tyler Ennis\ennisty01,C,1,0,0,0,2010,20,8,2017,27
Tyler Gaudet\gaudety01,C,1,0,0,0,2015,21,3,2017,23
Tyler Graovac\graovty01,C,1,0,0,0,2015,21,3,2017,23
Tyler Johnson\johnsty01,C,1,0,0,0,2013,22,5,2017,26
Tyler Kennedy\kennety01,C,1,0,0,0,2008,21,9,2016,29
Tyler Motte\mottety01,LW,0,0,1,0,2017,21,1,2017,21
Tyler Myers\myersty01,D,0,1,0,0,2010,19,8,2017,26
Tyler Pitlick\pitlity01,C,1,0,0,0,2014,22,4,2017,25
Tyler Randell\randety01,RW,0,0,0,1,2016,24,1,2016,24
Tyler Seguin\seguity01,C,1,0,0,0,2011,19,7,2017,25
Tyler Sloan\sloanty01,D,0,1,0,0,2009,27,3,2011,29
Tyler Toffoli\toffoty01,C,1,0,0,0,2013,20,5,2017,24
Tyler Wotherspoon\wothety01,D,0,1,0,0,2014,20,4,2017,23
Tyler Wright\wrighty01,C,1,0,0,0,2006,32,1,2006,32
Tyson Barrie\barrity01,D,0,1,0,0,2012,20,6,2017,25
Tyson Jost\jostty01,C,1,0,0,0,2017,18,1,2017,18
Tyson Nash\nashty01,LW,0,0,1,0,2006,30,1,2006,30
Tyson Strachan\stracty01,D,0,1,0,0,2009,24,8,2016,31
Vaclav Varada\varadva01,RW,0,0,0,1,2006,29,1,2006,29
Valentin Zykov\zykovva01,LW,0,0,1,0,2017,21,1,2017,21
Valeri Nichushkin\nichuva01,RW,0,0,0,1,2014,18,3,2016,20
Valtteri Filppula\filppva01,C,1,0,0,0,2006,21,12,2017,32
Vernon Fiddler\fiddlve01,C,1,0,0,0,2006,25,12,2017,36
Victor Bartley\bartlvi01,D,0,1,0,0,2013,24,4,2016,27
Victor Hedman\hedmavi01,D,0,1,0,0,2010,19,8,2017,26
Victor Oreskovich\oreskvi01,D,0,1,0,0,2010,23,3,2012,25
Victor Rask\raskvi01,C,1,0,0,0,2015,21,3,2017,23
Viktor Arvidsson\arvidvi01,LW,0,0,1,0,2015,21,3,2017,23
Viktor Kozlov\kozlovi01,C,1,0,0,0,2006,30,4,2009,33
Viktor Loov\loovvi01,D,0,1,0,0,2016,23,1,2016,23
Viktor Stalberg\stalbvi01,LW,0,0,1,0,2010,24,8,2017,31
Viktor Svedberg\svedbvi01,D,0,1,0,0,2016,24,1,2016,24
Viktor Tikhonov\tikhovi01,RW,0,0,0,1,2009,20,8,2016,27
Ville Koistinen\koistvi01,D,0,1,0,0,2008,25,3,2010,27
Ville Leino\leinovi01,LW,0,0,1,0,2009,25,6,2014,30
Ville Nieminen\niemivi01,LW,0,0,1,0,2006,28,2,2009,29
Ville Peltonen\peltovi01,LW,0,0,1,0,2007,33,3,2009,35
Vincent Lecavalier\lecavvi01,C,1,0,0,0,2006,25,11,2016,35
Vincent Trocheck\trochvi01,C,1,0,0,0,2014,20,4,2017,23
Vinnie Hinostroza\hinosvi01,C,1,0,0,0,2016,21,2,2017,22
Vinny Prospal\prospva01,C,1,0,0,0,2006,30,8,2013,37
Vitaly Vishnevski\vishnvi01,D,0,1,0,0,2006,25,3,2009,27
Vladimir Malakhov\malakvl01,D,0,1,0,0,2006,37,1,2006,37
Vladimir Mihalik\mihalvl01,D,0,1,0,0,2009,22,2,2010,23
Vladimir Orszagh\orszavl01,RW,0,0,0,1,2006,28,1,2006,28
Vladimir Sobotka\sobotvl01,C,1,0,0,0,2008,20,10,2017,29
Vladimir Tarasenko\tarasvl01,RW,0,0,0,1,2013,21,5,2017,25
Vladimir Zharkov\zharkvl01,RW,0,0,0,1,2010,22,3,2012,24
Vladislav Kamenev\kamenvl01,LW,0,0,1,0,2017,20,1,2017,20
Vladislav Namestnikov\namesvl01,C,1,0,0,0,2014,21,4,2017,24
Vojtech Mozik\mozikvo01,D,0,1,0,0,2016,23,1,2016,23
