player,position,c,d,lw,rw,start_year,start_age,years_played,retire_year,retire_age
Niko Dimitrakos\dimitni01,RW,0,0,0,1,2006,26,2,2009,27
Niko Kapanen\kapanni01,C,1,0,0,0,2006,27,3,2009,29
Nikolai Kulemin\kulemni01,LW,0,0,1,0,2009,22,9,2017,30
Nikolai Zherdev\zherdni01,RW,0,0,0,1,2006,21,6,2011,26
Nikolaj Ehlers\ehlerni01,LW,0,0,1,0,2016,19,2,2017,20
Nikolay Goldobin\goldoni01,LW,0,0,1,0,2016,20,2,,
Nils Ekman\ekmanni01,RW,0,0,0,1,2006,29,2,2009,30
Nino Niederreiter\niedeni01,RW,0,0,0,1,2011,18,7,2017,24
Noah Clarke\clarkno02,LW,0,0,1,0,2006,26,3,2009,28
Noah Hanifin\hanifno01,D,0,1,0,0,2016,19,2,2017,20
Noah Welch\welchno01,D,0,1,0,0,2006,23,6,2011,28
Noel Acciari\acciano01,C,1,0,0,0,2016,24,2,2017,25
Nolan Baumgartner\baumgno01,D,0,1,0,0,2006,29,5,2010,33
Nolan Pratt\prattno01,D,0,1,0,0,2006,30,3,2009,32
Nolan Yonkman\yonkmno01,D,0,1,0,0,2006,24,9,2014,32
Norm Milley\milleno01,RW,0,0,0,1,2006,25,1,2006,25
Ole-Kristian Tollefsen\tolleol01,D,0,1,0,0,2006,21,5,2010,25
Oleg Kvasha\kvashol01,LW,0,0,1,0,2006,27,1,2006,27
Oleg Saprykin\sapryol01,LW,0,0,1,0,2006,24,2,2009,25
Oleg Tverdovsky\tverdol01,D,0,1,0,0,2006,29,2,2009,30
Oliver Bjorkstrand\bjorkol01,RW,0,0,0,1,2016,20,2,2017,21
Oliver Ekman-Larsson\ekmanol01,D,0,1,0,0,2011,19,7,2017,25
Oliver Kylington\kylinol01,D,0,1,0,0,2016,18,1,2016,18
Oliver Lauridsen\lauriol01,D,0,1,0,0,2013,23,3,2015,25
Olivier Magnan\magnaol01,D,0,1,0,0,2011,24,1,2011,24
Olli Jokinen\jokinol01,C,1,0,0,0,2006,27,10,2015,36
Olli Maatta\maattol01,D,0,1,0,0,2014,19,4,2017,22
Olli Malmivaara\malmiol01,D,0,1,0,0,2008,25,1,2008,25
Ondrej Kase\kaseon01,RW,0,0,0,1,2017,21,1,2017,21
Ondrej Palat\palaton01,LW,0,0,1,0,2013,21,5,2017,25
Oscar Klefbom\klefbos01,D,0,1,0,0,2014,20,4,2017,23
Oscar Lindberg\lindbos02,C,1,0,0,0,2015,23,3,2017,25
Oscar Moller\molleos01,C,1,0,0,0,2009,20,3,2011,22
Oskar Osala\osalaos01,LW,0,0,1,0,2009,21,2,2010,22
Oskar Sundqvist\sundqos01,C,1,0,0,0,2016,21,2,2017,22
Oskars Bartulis\bartuos01,D,0,1,0,0,2010,23,2,2011,24
Ossi Vaananen\vaanaos01,D,0,1,0,0,2006,25,4,2009,28
Owen Nolan\nolanow01,RW,0,0,0,1,2007,34,4,2010,37
P.A. Parenteau\parenpi01,LW,0,0,1,0,2007,23,11,2017,33
P.J. Axelsson\axelspj01,LW,0,0,1,0,2006,30,4,2009,33
P.K. Subban\subbapk01,D,0,1,0,0,2010,20,8,2017,27
Pascal Dupuis\dupuipa01,LW,0,0,1,0,2006,26,11,2016,36
Pascal Pelletier\pellepa01,LW,0,0,1,0,2008,24,7,2014,30
Pascal Rheaume\rheaupa01,C,1,0,0,0,2006,32,1,2006,32
Pat Kavanagh\kavanpa01,RW,0,0,0,1,2006,26,1,2006,26
Patric Hornqvist\hornqpa01,RW,0,0,0,1,2009,22,9,2017,30
Patrice Bergeron\bergepa01,C,1,0,0,0,2006,20,12,2017,31
Patrice Brisebois\brisepa01,D,0,1,0,0,2006,35,4,2009,38
Patrice Cormier\cormipa01,C,1,0,0,0,2011,20,6,2016,25
Patrick Bordeleau\bordepa02,LW,0,0,1,0,2013,26,3,2015,28
Patrick Brown\brownpa02,C,1,0,0,0,2015,22,3,2017,24
Patrick Cannone\cannopa01,C,1,0,0,0,2017,30,1,2017,30
Patrick Coulombe\coulopa01,D,0,1,0,0,2007,21,1,2009,21
Patrick Davis\davispa01,LW,0,0,1,0,2009,22,2,2010,23
Patrick Dwyer\dwyerpa01,RW,0,0,0,1,2009,25,7,2015,31
Patrick Eaves\eavespa01,RW,0,0,0,1,2006,21,12,2017,32
Patrick Fischer\fischpa01,C,1,0,0,0,2007,31,1,2009,31
Patrick Holland\hollapa01,RW,0,0,0,1,2014,22,1,2014,22
Patrick Kaleta\kaletpa01,RW,0,0,0,1,2007,20,9,2015,28
Patrick Kane\kanepa01,RW,0,0,0,1,2008,19,10,2017,28
Patrick Leahy\leahypa01,LW,0,0,1,0,2006,26,2,2009,27
Patrick Marleau\marlepa01,C,1,0,0,0,2006,26,12,2017,37
Patrick Maroon\maroopa01,LW,0,0,1,0,2012,23,6,2017,28
Patrick O'Sullivan\osullpa01,C,1,0,0,0,2007,21,6,2012,26
Patrick Rissmiller\rissmpa01,C,1,0,0,0,2006,27,6,2011,32
Patrick Sharp\sharppa01,C,1,0,0,0,2006,24,12,2017,35
Patrick Sieloff\sielopa01,D,0,1,0,0,2016,21,1,2016,21
Patrick Thoresen\thorepa01,LW,0,0,1,0,2007,23,2,2009,24
Patrick Traverse\travepa01,D,0,1,0,0,2006,31,1,2006,31
Patrick Wey\weypa01,D,0,1,0,0,2014,22,1,2014,22
Patrick Wiercioch\wiercpa01,D,0,1,0,0,2011,20,7,2017,26
Patrik Berglund\berglpa01,C,1,0,0,0,2009,20,9,2017,28
Patrik Elias\eliaspa01,C,1,0,0,0,2006,29,11,2016,39
Patrik Laine\lainepa01,RW,0,0,0,1,2017,18,1,2017,18
Patrik Nemeth\nemetpa01,D,0,1,0,0,2014,21,4,2017,24
Patrik Stefan\stefapa01,C,1,0,0,0,2006,25,2,2009,26
Paul Bissonnette\bissopa01,LW,0,0,1,0,2009,23,6,2014,28
Paul Byron\byronpa01,C,1,0,0,0,2011,21,7,2017,27
Paul Carey\careypa01,C,1,0,0,0,2014,25,4,2017,28
Paul Gaustad\gaustpa01,C,1,0,0,0,2006,23,11,2016,33
Paul Healey\healepa01,RW,0,0,0,1,2006,30,1,2006,30
Paul Kariya*\kariypa01,LW,0,0,1,0,2006,31,5,2010,35
Paul Ladue\laduepa01,D,0,1,0,0,2017,24,1,2017,24
Paul Mara\marapa01,D,0,1,0,0,2006,26,6,2011,31
Paul Martin\martipa01,D,0,1,0,0,2006,24,12,2017,35
Paul Postma\postmpa01,D,0,1,0,0,2011,21,7,2017,27
Paul Ranger\rangepa01,D,0,1,0,0,2006,21,9,2014,29
Paul Stastny\stastpa01,C,1,0,0,0,2007,21,11,2017,31
Paul Szczechura\szczepa01,C,1,0,0,0,2009,23,4,2012,26
Paul Thompson\thomppa02,RW,0,0,0,1,2016,27,2,2017,28
Pavel Brendl\brendpa01,RW,0,0,0,1,2006,24,1,2006,24
Pavel Buchnevich\buchnpa01,RW,0,0,0,1,2017,21,1,2017,21
Pavel Datsyuk\datsypa01,C,1,0,0,0,2006,27,11,2016,37
Pavel Kubina\kubinpa01,D,0,1,0,0,2006,28,7,2012,34
Pavel Vorobiev\vorobpa01,RW,0,0,0,1,2006,23,1,2006,23
Pavel Zacha\zachapa01,C,1,0,0,0,2016,18,2,2017,19
Pavol Demitra\demitpa01,C,1,0,0,0,2006,31,5,2010,35
Per Ledin\ledinpe01,LW,0,0,1,0,2009,30,1,2009,30
Perttu Lindgren\lindgpe01,C,1,0,0,0,2010,22,1,2010,22
Peter Bondra\bondrpe01,RW,0,0,0,1,2006,37,2,2009,38
Peter Cehlarik\cehlape01,LW,0,0,1,0,2017,21,1,2017,21
Peter Forsberg*\forsbpe01,C,1,0,0,0,2006,32,6,2011,37
Peter Harrold\harrope01,D,0,1,0,0,2007,23,9,2015,31
Peter Holland\hollape01,C,1,0,0,0,2012,21,6,2017,26
Peter LeBlanc\leblape01,C,1,0,0,0,2014,25,1,2014,25
Peter Mueller\muellpe01,C,1,0,0,0,2008,19,6,2013,24
Peter Olvecky\olvecpe01,LW,0,0,1,0,2009,23,2,2010,24
Peter Regin\reginpe01,C,1,0,0,0,2009,22,7,2015,28
Peter Sarno\sarnope01,C,1,0,0,0,2006,26,1,2006,26
Peter Schaefer\schaepe01,LW,0,0,1,0,2006,28,6,2011,33
Peter Sejna\sejnape01,LW,0,0,1,0,2006,26,2,2009,27
Peter Vandermeer\vandepe01,LW,0,0,1,0,2008,32,1,2008,32
Petr Cajanek\cajanpe01,C,1,0,0,0,2006,30,2,2009,31
Petr Kalus\kaluspe01,RW,0,0,0,1,2007,19,4,2010,22
Petr Kanko\kankope01,RW,0,0,0,1,2006,21,1,2006,21
Petr Nedved\nedvepe01,C,1,0,0,0,2006,34,2,2009,35
Petr Prucha\pruchpe01,C,1,0,0,0,2006,23,6,2011,28
Petr Straka\strakpe01,RW,0,0,0,1,2015,22,1,2015,22
Petr Sykora\sykorpe01,C,1,0,0,0,2006,29,7,2012,35
Petr Sykora\sykorpe02,C,1,0,0,0,2006,27,1,2006,27
Petr Taticek\taticpe01,C,1,0,0,0,2006,22,1,2006,22
Petr Tenkrat\tenkrpe01,RW,0,0,0,1,2007,29,1,2009,29
Petr Vrana\vranape01,C,1,0,0,0,2009,23,1,2009,23
