player_ID,sport,position,start_year,start_age,years_played
Chucky Brown,NBA,3,1990,22,13
Damone Brown,NBA,3,2002,18,4
Dee Brown,NBA,2,1991,13,12
Dee Brown,NBA,2,2007,28,3
Ernest Brown,NBA,1,2002,27,1
Jabari Brown,NBA,2,2015,34,1
Jaylen Brown,NBA,0,2017,35,2
John Brown,NBA,3,1974,34,7
Kwame Brown,NBA,3,2002,47,12
Lorenzo Brown,NBA,2,2014,51,5
Marcus Brown,NBA,2,1997,28,4
Markel Brown,NBA,2,2015,46,2
Mike Brown,NBA,0,1987,19,11
Myron Brown,NBA,2,1992,27,1
P.J. Brown,NBA,0,1994,36,15
Raymond Brown,NBA,3,1990,40,1
Roger Brown,NBA,0,1968,39,8
Shannon Brown,NBA,2,2007,28,9
Tierre Brown,NBA,2,2002,35,4
Tony Brown,NBA,0,1985,40,8
George Bruns,NBA,2,1973,35,1
Rick Brunson,NBA,2,1998,44,9
Nicolas Brussino,NBA,0,2017,39,2
Kobe Bryant,NBA,0,1997,38,20
Mark Bryant,NBA,0,1989,25,15
Wallace Bryant,NBA,1,1984,47,3
Torgeir Bryn,NBA,1,1990,24,1
George Bucci,NBA,2,1976,38,1
Steve Bucknall,NBA,2,1990,36,1
Cleveland Buckner,NBA,0,1962,24,2
Greg Buckner,NBA,2,2000,12,10
Chase Budinger,NBA,3,2010,33,7
Matt Bullard,NBA,3,1991,35,12
Larry Bunce,NBA,1,1968,26,2
Greg Bunch,NBA,3,1979,32,1
Ticky Burden,NBA,2,1976,18,3
Trey Burke,NBA,2,2014,34,4
Kevin Burleson,NBA,2,2006,48,1
Junior Burrough,NBA,3,1996,28,1
Willie Burton,NBA,0,1991,42,9
Steve Burtt,NBA,2,1985,49,9
Don Buse,NBA,2,1973,35,13
Caron Butler,NBA,3,2003,14,14
Greg Butler,NBA,1,1989,43,3
Jackie Butler,NBA,0,2005,35,3
Jimmy Butler,NBA,0,2012,33,7
Mitchell Butler,NBA,0,1994,10,11
Rasual Butler,NBA,0,2003,16,14
Dwight Buycks,NBA,2,2014,31,2
Derrick Byars,NBA,3,2012,56,1
Marty Byrnes,NBA,3,1979,44,5
Zarko Cabarkapa,NBA,3,2004,42,3
Barney Cable,NBA,3,1959,34,6
Bruno Caboclo,NBA,3,2015,26,4
Jason Caffey,NBA,3,1996,15,8
Michael Cage,NBA,0,1985,19,16
Jose Calderon,NBA,2,2006,13,13
Jim Caldwell,NBA,1,1968,18,2
Corky Calhoun,NBA,3,1973,49,8
Demetrius Calip,NBA,2,1992,45,1
Mack Calvin,NBA,2,1970,8,12
Brian Cardinal,NBA,3,2001,42,12
Rick Carlisle,NBA,2,1985,53,6
Al Carlson,NBA,1,1976,59,1
Rodney Carney,NBA,3,2007,33,5
Antoine Carr,NBA,0,1985,30,16
Austin Carr,NBA,2,1972,21,10
Cory Carr,NBA,2,1999,46,1
