,player_ID,sport,position,retire_year,retire_age,years_played
282,Irv Bemoras,NBA,0,1957,7,4
284,Dragan Bender,NBA,3,2018,37,2
285,Jonathan Bender,NBA,3,2010,19,11
286,Jerrelle Benimon,NBA,3,2015,51,1
287,Benoit Benjamin,NBA,1,2000,22,15
288,Corey Benjamin,NBA,2,2003,10,5
289,Anthony Bennett,NBA,3,2017,47,4
290,Elmer Bennett,NBA,2,1997,24,3
291,Mario Bennett,NBA,3,2000,45,5
292,Mel Bennett,NBA,3,1982,39,7
293,Spider Bennett,NBA,2,1969,0,1
294,Tony Bennett,NBA,2,1995,30,3
295,Winston Bennett,NBA,3,1992,24,3
296,David Benoit,NBA,3,2001,13,10
297,Keith Benson,NBA,1,2012,58,1
299,Ben Bentil,NBA,3,2017,91,1
300,Gene Berce,NBA,0,1950,18,1
301,Gary Bergen,NBA,1,1957,12,1
302,Larry Bergh,NBA,3,1970,6,1
303,Ricky Berry,NBA,3,1989,25,1
305,Davis Bertans,NBA,3,2018,62,2
306,Del Beshore,NBA,2,1980,8,2
307,Travis Best,NBA,2,2005,17,10
308,Patrick Beverley,NBA,2,2018,26,6
309,Sim Bhullar,NBA,1,2015,70,1
310,Wesley Bialosuknia,NBA,2,1968,36,1
311,Al Bianchi,NBA,2,1966,44,10
313,Henry Bibby,NBA,2,1981,3,9
314,Mike Bibby,NBA,2,2012,67,14
316,Andris Biedrins,NBA,1,2014,61,10
318,Bob Bigelow,NBA,0,1979,3,4
319,Lionel Billingy,NBA,0,1975,32,1
320,Chauncey Billups,NBA,2,2014,53,17
323,Khem Birch,NBA,0,2018,83,1
324,Jabari Bird,NBA,2,2018,62,1
325,Jerry Bird,NBA,3,1959,4,1
326,Larry Bird,NBA,3,1992,70,13
329,Bismack Biyombo,NBA,0,2018,56,7
330,Nemanja Bjelica,NBA,3,2018,97,3
331,Uwe Blab,NBA,1,1990,33,5
333,Norman Black,NBA,2,1981,40,1
334,Tarik Black,NBA,0,2018,59,4
335,Tom Black,NBA,1,1971,1,1
336,Rolando Blackman,NBA,2,1994,31,13
337,Alex Blackwell,NBA,3,1993,25,1
338,Cory Blackwell,NBA,3,1985,20,1
339,James Blackwell,NBA,2,1995,6,1
340,Nate Blackwell,NBA,2,1988,8,1
341,DeJuan Blair,NBA,0,2016,20,7
342,Steve Blake,NBA,2,2016,33,13
343,Antonio Blakeney,NBA,2,2018,79,1
344,Will Blalock,NBA,2,2007,41,1
346,Lance Blanks,NBA,2,1993,7,3
347,Ricky Blanton,NBA,3,1993,26,1
348,Andray Blatche,NBA,3,2014,25,9
349,Mookie Blaylock,NBA,2,2002,76,13
350,Eric Bledsoe,NBA,2,2018,74,8
351,Leon Blevins,NBA,2,1951,36,1
352,John Block,NBA,0,1976,7,10
354,Corie Blount,NBA,3,2004,12,11
355,Mark Blount,NBA,1,2009,51,9
356,Vander Blue,NBA,2,2018,94,5
357,Ray Blume,NBA,2,1982,3,1
358,Nelson Bobb,NBA,2,1953,20,4
359,Tony Bobbitt,NBA,2,2005,60,1
362,Keith Bogans,NBA,0,2014,25,11
363,Bogdan Bogdanovic,NBA,2,2018,53,1
364,Bojan Bogdanovic,NBA,0,2018,34,4
365,Muggsy Bogues,NBA,2,2001,28,14
366,Andrew Bogut,NBA,1,2018,56,13
367,Etdrick Bohannon,NBA,3,2001,70,4
368,Manute Bol,NBA,1,1995,1,10
369,Bill Bolger,NBA,3,1954,23,1
370,Joel Bolomboy,NBA,3,2018,83,2
371,Doug Bolstorff,NBA,2,1958,4,1
373,Phil Bond,NBA,2,1978,8,1
374,Walter Bond,NBA,2,1995,53,3
375,Dexter Boney,NBA,2,1997,29,1
377,Anthony Bonner,NBA,3,1996,51,6
